experiment_name,n_features,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
combo_1_Gene_Expr_Drug_PC,1266,random,26.221,0.287,36.585,0.304,0.648,0.003,0.805,0.002,0.797,0.003,26.221 +/- 0.287,36.585 +/- 0.304,0.648 +/- 0.003,0.805 +/- 0.002,0.797 +/- 0.003
combo_1_Gene_Expr_Drug_Embed,1049,inhibitor,47.166,4.395,60.500,4.910,0.092,0.052,0.291,0.086,0.261,0.088,47.166 +/- 4.395,60.500 +/- 4.910,0.092 +/- 0.052,0.291 +/- 0.086,0.261 +/- 0.088
combo_1_Gene_Expr_Drug_Embed,1049,dbgap_rnaseq_sample,31.376,1.362,43.060,2.418,0.516,0.033,0.718,0.023,0.713,0.022,31.376 +/- 1.362,43.060 +/- 2.418,0.516 +/- 0.033,0.718 +/- 0.023,0.713 +/- 0.022
combo_1_Gene_Expr_Drug_Embed,1049,random,26.143,0.277,36.611,0.238,0.648,0.003,0.805,0.002,0.798,0.003,26.143 +/- 0.277,36.611 +/- 0.238,0.648 +/- 0.003,0.805 +/- 0.002,0.798 +/- 0.003
combo_1_Gene_Expr_Drug_PC+Drug_Embed,1522,inhibitor,46.223,4.758,58.841,6.340,0.129,0.043,0.354,0.057,0.326,0.061,46.223 +/- 4.758,58.841 +/- 6.340,0.129 +/- 0.043,0.354 +/- 0.057,0.326 +/- 0.061
combo_1_Gene_Expr_Drug_PC+Drug_Embed,1522,dbgap_rnaseq_sample,31.545,1.402,42.869,2.137,0.516,0.037,0.718,0.025,0.712,0.020,31.545 +/- 1.402,42.869 +/- 2.137,0.516 +/- 0.037,0.718 +/- 0.025,0.712 +/- 0.020
combo_1_Gene_Expr_Drug_PC+Drug_Embed,1522,random,26.132,0.278,36.236,0.257,0.654,0.003,0.808,0.001,0.800,0.003,26.132 +/- 0.278,36.236 +/- 0.257,0.654 +/- 0.003,0.808 +/- 0.001,0.800 +/- 0.003
combo_1_Mutation_Drug_PC,856,inhibitor,47.827,2.068,60.215,3.458,0.060,0.030,0.237,0.062,0.212,0.048,47.827 +/- 2.068,60.215 +/- 3.458,0.060 +/- 0.030,0.237 +/- 0.062,0.212 +/- 0.048
combo_1_Mutation_Drug_PC,856,dbgap_rnaseq_sample,34.675,2.152,46.791,2.389,0.434,0.032,0.658,0.024,0.658,0.028,34.675 +/- 2.152,46.791 +/- 2.389,0.434 +/- 0.032,0.658 +/- 0.024,0.658 +/- 0.028
combo_1_Mutation_Drug_PC,856,random,30.423,0.322,41.708,0.520,0.543,0.007,0.737,0.005,0.732,0.005,30.423 +/- 0.322,41.708 +/- 0.520,0.543 +/- 0.007,0.737 +/- 0.005,0.732 +/- 0.005
combo_1_Mutation_Drug_Embed,639,inhibitor,47.989,5.262,60.275,7.233,0.075,0.059,0.252,0.107,0.216,0.103,47.989 +/- 5.262,60.275 +/- 7.233,0.075 +/- 0.059,0.252 +/- 0.107,0.216 +/- 0.103
combo_1_Mutation_Drug_Embed,639,dbgap_rnaseq_sample,34.553,1.328,46.800,2.485,0.435,0.030,0.659,0.023,0.659,0.018,34.553 +/- 1.328,46.800 +/- 2.485,0.435 +/- 0.030,0.659 +/- 0.023,0.659 +/- 0.018
combo_1_Mutation_Drug_Embed,639,random,29.835,0.305,41.089,0.483,0.556,0.006,0.746,0.004,0.742,0.004,29.835 +/- 0.305,41.089 +/- 0.483,0.556 +/- 0.006,0.746 +/- 0.004,0.742 +/- 0.004
combo_1_Mutation_Drug_PC+Drug_Embed,1112,inhibitor,47.976,4.188,60.150,5.057,0.065,0.039,0.239,0.092,0.199,0.117,47.976 +/- 4.188,60.150 +/- 5.057,0.065 +/- 0.039,0.239 +/- 0.092,0.199 +/- 0.117
combo_1_Mutation_Drug_PC+Drug_Embed,1112,dbgap_rnaseq_sample,34.464,1.620,46.491,2.692,0.438,0.037,0.662,0.028,0.660,0.023,34.464 +/- 1.620,46.491 +/- 2.692,0.438 +/- 0.037,0.662 +/- 0.028,0.660 +/- 0.023
combo_1_Mutation_Drug_PC+Drug_Embed,1112,random,30.920,0.350,42.232,0.531,0.532,0.006,0.729,0.004,0.724,0.004,30.920 +/- 0.350,42.232 +/- 0.531,0.532 +/- 0.006,0.729 +/- 0.004,0.724 +/- 0.004
combo_1_Pathway_Drug_PC,581,inhibitor,45.831,3.183,58.990,4.584,0.110,0.014,0.331,0.021,0.309,0.013,45.831 +/- 3.183,58.990 +/- 4.584,0.110 +/- 0.014,0.331 +/- 0.021,0.309 +/- 0.013
combo_1_Pathway_Drug_PC,581,dbgap_rnaseq_sample,33.179,1.827,44.728,3.273,0.479,0.038,0.691,0.028,0.683,0.021,33.179 +/- 1.827,44.728 +/- 3.273,0.479 +/- 0.038,0.691 +/- 0.028,0.683 +/- 0.021
combo_1_Pathway_Drug_PC,581,random,26.397,0.239,36.823,0.305,0.643,0.003,0.802,0.002,0.795,0.003,26.397 +/- 0.239,36.823 +/- 0.305,0.643 +/- 0.003,0.802 +/- 0.002,0.795 +/- 0.003
combo_1_Pathway_Drug_Embed,364,inhibitor,46.953,3.684,59.512,5.414,0.099,0.016,0.314,0.026,0.288,0.025,46.953 +/- 3.684,59.512 +/- 5.414,0.099 +/- 0.016,0.314 +/- 0.026,0.288 +/- 0.025
combo_1_Pathway_Drug_Embed,364,dbgap_rnaseq_sample,32.916,1.116,44.596,2.123,0.482,0.034,0.694,0.025,0.688,0.020,32.916 +/- 1.116,44.596 +/- 2.123,0.482 +/- 0.034,0.694 +/- 0.025,0.688 +/- 0.020
combo_1_Pathway_Drug_Embed,364,random,26.363,0.210,36.873,0.220,0.642,0.003,0.802,0.002,0.796,0.002,26.363 +/- 0.210,36.873 +/- 0.220,0.642 +/- 0.003,0.802 +/- 0.002,0.796 +/- 0.002
combo_1_Pathway_Drug_PC+Drug_Embed,837,inhibitor,46.966,3.092,59.765,4.377,0.099,0.033,0.310,0.052,0.283,0.040,46.966 +/- 3.092,59.765 +/- 4.377,0.099 +/- 0.033,0.310 +/- 0.052,0.283 +/- 0.040
combo_1_Pathway_Drug_PC+Drug_Embed,837,dbgap_rnaseq_sample,32.748,1.793,44.307,3.121,0.487,0.042,0.697,0.030,0.690,0.024,32.748 +/- 1.793,44.307 +/- 3.121,0.487 +/- 0.042,0.697 +/- 0.030,0.690 +/- 0.024
combo_1_Pathway_Drug_PC+Drug_Embed,837,random,26.401,0.237,36.805,0.303,0.643,0.002,0.802,0.001,0.795,0.002,26.401 +/- 0.237,36.805 +/- 0.303,0.643 +/- 0.002,0.802 +/- 0.001,0.795 +/- 0.002
combo_2_Clinical_CellType_Module+Gene_Expr_Drug_PC,1287,inhibitor,45.997,2.153,59.701,2.398,0.103,0.029,0.317,0.049,0.291,0.043,45.997 +/- 2.153,59.701 +/- 2.398,0.103 +/- 0.029,0.317 +/- 0.049,0.291 +/- 0.043
combo_2_Clinical_CellType_Module+Gene_Expr_Drug_PC,1287,dbgap_rnaseq_sample,31.524,1.461,43.150,2.484,0.513,0.026,0.716,0.018,0.708,0.014,31.524 +/- 1.461,43.150 +/- 2.484,0.513 +/- 0.026,0.716 +/- 0.018,0.708 +/- 0.014
combo_2_Clinical_CellType_Module+Gene_Expr_Drug_PC,1287,random,26.247,0.281,36.695,0.291,0.646,0.002,0.804,0.001,0.796,0.003,26.247 +/- 0.281,36.695 +/- 0.291,0.646 +/- 0.002,0.804 +/- 0.001,0.796 +/- 0.003
combo_2_Clinical_CellType_Module+Gene_Expr_Drug_Embed,1070,inhibitor,46.658,4.367,59.855,6.257,0.122,0.070,0.322,0.133,0.292,0.119,46.658 +/- 4.367,59.855 +/- 6.257,0.122 +/- 0.070,0.322 +/- 0.133,0.292 +/- 0.119
combo_2_Clinical_CellType_Module+Gene_Expr_Drug_Embed,1070,dbgap_rnaseq_sample,31.128,1.500,42.862,2.267,0.520,0.037,0.720,0.026,0.715,0.027,31.128 +/- 1.500,42.862 +/- 2.267,0.520 +/- 0.037,0.720 +/- 0.026,0.715 +/- 0.027
combo_2_Clinical_CellType_Module+Gene_Expr_Drug_Embed,1070,random,26.107,0.277,36.515,0.239,0.649,0.002,0.806,0.001,0.799,0.002,26.107 +/- 0.277,36.515 +/- 0.239,0.649 +/- 0.002,0.806 +/- 0.001,0.799 +/- 0.002
combo_2_Clinical_CellType_Module+Gene_Expr_Drug_PC+Drug_Embed,1543,inhibitor,46.194,3.144,59.539,3.003,0.113,0.012,0.335,0.019,0.308,0.043,46.194 +/- 3.144,59.539 +/- 3.003,0.113 +/- 0.012,0.335 +/- 0.019,0.308 +/- 0.043
combo_2_Clinical_CellType_Module+Gene_Expr_Drug_PC+Drug_Embed,1543,dbgap_rnaseq_sample,31.358,0.877,43.056,2.004,0.516,0.029,0.718,0.021,0.713,0.009,31.358 +/- 0.877,43.056 +/- 2.004,0.516 +/- 0.029,0.718 +/- 0.021,0.713 +/- 0.009
combo_2_Clinical_CellType_Module+Gene_Expr_Drug_PC+Drug_Embed,1543,random,26.082,0.295,36.528,0.276,0.650,0.002,0.806,0.001,0.799,0.003,26.082 +/- 0.295,36.528 +/- 0.276,0.650 +/- 0.002,0.806 +/- 0.001,0.799 +/- 0.003
combo_2_Clinical_CellType_Module+Mutation_Drug_PC,877,inhibitor,45.031,1.963,57.370,2.428,0.144,0.018,0.378,0.023,0.354,0.031,45.031 +/- 1.963,57.370 +/- 2.428,0.144 +/- 0.018,0.378 +/- 0.023,0.354 +/- 0.031
combo_2_Clinical_CellType_Module+Mutation_Drug_PC,877,dbgap_rnaseq_sample,32.293,2.316,43.955,3.477,0.493,0.044,0.702,0.031,0.698,0.024,32.293 +/- 2.316,43.955 +/- 3.477,0.493 +/- 0.044,0.702 +/- 0.031,0.698 +/- 0.024
combo_2_Clinical_CellType_Module+Mutation_Drug_PC,877,random,26.546,0.272,36.793,0.340,0.643,0.003,0.802,0.001,0.794,0.003,26.546 +/- 0.272,36.793 +/- 0.340,0.643 +/- 0.003,0.802 +/- 0.001,0.794 +/- 0.003
combo_2_Clinical_CellType_Module+Mutation_Drug_Embed,660,inhibitor,47.898,4.491,60.689,6.124,0.079,0.022,0.277,0.041,0.254,0.044,47.898 +/- 4.491,60.689 +/- 6.124,0.079 +/- 0.022,0.277 +/- 0.041,0.254 +/- 0.044
combo_2_Clinical_CellType_Module+Mutation_Drug_Embed,660,dbgap_rnaseq_sample,32.639,1.948,44.334,3.237,0.487,0.037,0.697,0.027,0.693,0.021,32.639 +/- 1.948,44.334 +/- 3.237,0.487 +/- 0.037,0.697 +/- 0.027,0.693 +/- 0.021
combo_2_Clinical_CellType_Module+Mutation_Drug_Embed,660,random,26.446,0.277,36.816,0.331,0.643,0.003,0.802,0.001,0.796,0.003,26.446 +/- 0.277,36.816 +/- 0.331,0.643 +/- 0.003,0.802 +/- 0.001,0.796 +/- 0.003
combo_2_Clinical_CellType_Module+Mutation_Drug_PC+Drug_Embed,1133,inhibitor,45.192,4.395,57.502,5.555,0.131,0.032,0.359,0.048,0.334,0.046,45.192 +/- 4.395,57.502 +/- 5.555,0.131 +/- 0.032,0.359 +/- 0.048,0.334 +/- 0.046
combo_2_Clinical_CellType_Module+Mutation_Drug_PC+Drug_Embed,1133,dbgap_rnaseq_sample,32.182,1.357,43.864,2.656,0.497,0.041,0.704,0.030,0.701,0.017,32.182 +/- 1.357,43.864 +/- 2.656,0.497 +/- 0.041,0.704 +/- 0.030,0.701 +/- 0.017
combo_2_Clinical_CellType_Module+Mutation_Drug_PC+Drug_Embed,1133,random,26.499,0.281,36.838,0.370,0.642,0.003,0.802,0.002,0.795,0.003,26.499 +/- 0.281,36.838 +/- 0.370,0.642 +/- 0.003,0.802 +/- 0.002,0.795 +/- 0.003
combo_2_Clinical_CellType_Module+Pathway_Drug_PC,602,inhibitor,46.757,4.091,59.675,6.079,0.107,0.062,0.315,0.084,0.286,0.077,46.757 +/- 4.091,59.675 +/- 6.079,0.107 +/- 0.062,0.315 +/- 0.084,0.286 +/- 0.077
combo_2_Clinical_CellType_Module+Pathway_Drug_PC,602,dbgap_rnaseq_sample,32.281,1.839,44.051,3.463,0.491,0.035,0.700,0.025,0.694,0.015,32.281 +/- 1.839,44.051 +/- 3.463,0.491 +/- 0.035,0.700 +/- 0.025,0.694 +/- 0.015
combo_2_Clinical_CellType_Module+Pathway_Drug_PC,602,random,26.134,0.246,36.556,0.243,0.648,0.002,0.805,0.001,0.799,0.002,26.134 +/- 0.246,36.556 +/- 0.243,0.648 +/- 0.002,0.805 +/- 0.001,0.799 +/- 0.002
combo_2_Clinical_CellType_Module+Pathway_Drug_Embed,385,inhibitor,46.539,4.599,59.418,5.286,0.111,0.037,0.327,0.062,0.307,0.066,46.539 +/- 4.599,59.418 +/- 5.286,0.111 +/- 0.037,0.327 +/- 0.062,0.307 +/- 0.066
combo_2_Clinical_CellType_Module+Pathway_Drug_Embed,385,dbgap_rnaseq_sample,32.263,0.481,43.787,1.517,0.497,0.021,0.705,0.015,0.697,0.016,32.263 +/- 0.481,43.787 +/- 1.517,0.497 +/- 0.021,0.705 +/- 0.015,0.697 +/- 0.016
combo_2_Clinical_CellType_Module+Pathway_Drug_Embed,385,random,26.100,0.243,36.583,0.211,0.648,0.002,0.805,0.001,0.799,0.003,26.100 +/- 0.243,36.583 +/- 0.211,0.648 +/- 0.002,0.805 +/- 0.001,0.799 +/- 0.003
combo_2_Clinical_CellType_Module+Pathway_Drug_PC+Drug_Embed,858,inhibitor,45.582,3.477,58.077,4.908,0.136,0.054,0.363,0.069,0.341,0.073,45.582 +/- 3.477,58.077 +/- 4.908,0.136 +/- 0.054,0.363 +/- 0.069,0.341 +/- 0.073
combo_2_Clinical_CellType_Module+Pathway_Drug_PC+Drug_Embed,858,dbgap_rnaseq_sample,32.419,1.452,44.066,2.229,0.490,0.039,0.700,0.027,0.695,0.027,32.419 +/- 1.452,44.066 +/- 2.229,0.490 +/- 0.039,0.700 +/- 0.027,0.695 +/- 0.027
combo_2_Clinical_CellType_Module+Pathway_Drug_PC+Drug_Embed,858,random,26.179,0.244,36.510,0.260,0.649,0.002,0.805,0.001,0.799,0.002,26.179 +/- 0.244,36.510 +/- 0.260,0.649 +/- 0.002,0.805 +/- 0.001,0.799 +/- 0.002
combo_2_Gene_Expr+Mutation_Drug_PC,1649,inhibitor,45.051,1.959,57.945,3.147,0.142,0.031,0.373,0.046,0.351,0.046,45.051 +/- 1.959,57.945 +/- 3.147,0.142 +/- 0.031,0.373 +/- 0.046,0.351 +/- 0.046
