experiment_name,n_features,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
combo_3_Clinical_CellType_Module+Gene_Expr+Mutation_Drug_PC,1670,inhibitor,45.116,3.535,57.734,4.343,0.133,0.021,0.364,0.029,0.342,0.031,45.116 +/- 3.535,57.734 +/- 4.343,0.133 +/- 0.021,0.364 +/- 0.029,0.342 +/- 0.031
combo_3_Clinical_CellType_Module+Gene_Expr+Mutation_Drug_PC,1670,dbgap_rnaseq_sample,31.606,1.831,42.927,3.126,0.516,0.032,0.718,0.022,0.709,0.013,31.606 +/- 1.831,42.927 +/- 3.126,0.516 +/- 0.032,0.718 +/- 0.022,0.709 +/- 0.013
combo_3_Clinical_CellType_Module+Gene_Expr+Mutation_Drug_PC,1670,random,26.544,0.303,36.729,0.337,0.645,0.003,0.803,0.002,0.794,0.003,26.544 +/- 0.303,36.729 +/- 0.337,0.645 +/- 0.003,0.803 +/- 0.002,0.794 +/- 0.003
combo_3_Clinical_CellType_Module+Gene_Expr+Mutation_Drug_Embed,1453,inhibitor,46.658,2.626,60.077,4.427,0.102,0.054,0.308,0.085,0.281,0.080,46.658 +/- 2.626,60.077 +/- 4.427,0.102 +/- 0.054,0.308 +/- 0.085,0.281 +/- 0.080
combo_3_Clinical_CellType_Module+Gene_Expr+Mutation_Drug_Embed,1453,dbgap_rnaseq_sample,31.096,2.222,42.535,3.898,0.526,0.046,0.725,0.031,0.717,0.022,31.096 +/- 2.222,42.535 +/- 3.898,0.526 +/- 0.046,0.725 +/- 0.031,0.717 +/- 0.022
combo_3_Clinical_CellType_Module+Gene_Expr+Mutation_Drug_Embed,1453,random,26.049,0.283,36.461,0.272,0.650,0.003,0.806,0.002,0.800,0.003,26.049 +/- 0.283,36.461 +/- 0.272,0.650 +/- 0.003,0.806 +/- 0.002,0.800 +/- 0.003
combo_3_Clinical_CellType_Module+Gene_Expr+Mutation_Drug_PC+Drug_Embed,1926,inhibitor,45.571,4.125,58.558,5.933,0.120,0.049,0.340,0.064,0.317,0.057,45.571 +/- 4.125,58.558 +/- 5.933,0.120 +/- 0.049,0.340 +/- 0.064,0.317 +/- 0.057
combo_3_Clinical_CellType_Module+Gene_Expr+Mutation_Drug_PC+Drug_Embed,1926,dbgap_rnaseq_sample,31.566,1.446,43.207,2.971,0.512,0.053,0.714,0.037,0.708,0.031,31.566 +/- 1.446,43.207 +/- 2.971,0.512 +/- 0.053,0.714 +/- 0.037,0.708 +/- 0.031
combo_3_Clinical_CellType_Module+Gene_Expr+Mutation_Drug_PC+Drug_Embed,1926,random,26.113,0.285,36.535,0.299,0.649,0.003,0.806,0.002,0.799,0.003,26.113 +/- 0.285,36.535 +/- 0.299,0.649 +/- 0.003,0.806 +/- 0.002,0.799 +/- 0.003
combo_3_Clinical_CellType_Module+Gene_Expr+Pathway_Drug_PC,1395,inhibitor,45.476,7.241,58.216,8.328,0.134,0.060,0.355,0.091,0.331,0.093,45.476 +/- 7.241,58.216 +/- 8.328,0.134 +/- 0.060,0.355 +/- 0.091,0.331 +/- 0.093
combo_3_Clinical_CellType_Module+Gene_Expr+Pathway_Drug_PC,1395,dbgap_rnaseq_sample,31.617,0.846,43.267,0.978,0.511,0.020,0.715,0.014,0.709,0.016,31.617 +/- 0.846,43.267 +/- 0.978,0.511 +/- 0.020,0.715 +/- 0.014,0.709 +/- 0.016
combo_3_Clinical_CellType_Module+Gene_Expr+Pathway_Drug_PC,1395,random,26.215,0.278,36.641,0.287,0.647,0.002,0.805,0.001,0.797,0.003,26.215 +/- 0.278,36.641 +/- 0.287,0.647 +/- 0.002,0.805 +/- 0.001,0.797 +/- 0.003
combo_3_Clinical_CellType_Module+Gene_Expr+Pathway_Drug_Embed,1178,inhibitor,46.879,2.487,60.377,2.405,0.091,0.032,0.296,0.060,0.275,0.069,46.879 +/- 2.487,60.377 +/- 2.405,0.091 +/- 0.032,0.296 +/- 0.060,0.275 +/- 0.069
combo_3_Clinical_CellType_Module+Gene_Expr+Pathway_Drug_Embed,1178,dbgap_rnaseq_sample,31.405,2.914,43.094,4.872,0.517,0.061,0.718,0.044,0.711,0.036,31.405 +/- 2.914,43.094 +/- 4.872,0.517 +/- 0.061,0.718 +/- 0.044,0.711 +/- 0.036
combo_3_Clinical_CellType_Module+Gene_Expr+Pathway_Drug_Embed,1178,random,26.124,0.287,36.532,0.282,0.650,0.002,0.806,0.001,0.798,0.003,26.124 +/- 0.287,36.532 +/- 0.282,0.650 +/- 0.002,0.806 +/- 0.001,0.798 +/- 0.003
combo_3_Clinical_CellType_Module+Gene_Expr+Pathway_Drug_PC+Drug_Embed,1651,inhibitor,46.402,5.817,59.565,7.689,0.121,0.061,0.334,0.097,0.306,0.075,46.402 +/- 5.817,59.565 +/- 7.689,0.121 +/- 0.061,0.334 +/- 0.097,0.306 +/- 0.075
combo_3_Clinical_CellType_Module+Gene_Expr+Pathway_Drug_PC+Drug_Embed,1651,dbgap_rnaseq_sample,31.302,1.063,42.904,1.855,0.519,0.011,0.721,0.008,0.713,0.009,31.302 +/- 1.063,42.904 +/- 1.855,0.519 +/- 0.011,0.721 +/- 0.008,0.713 +/- 0.009
combo_3_Clinical_CellType_Module+Gene_Expr+Pathway_Drug_PC+Drug_Embed,1651,random,26.067,0.264,36.485,0.257,0.651,0.003,0.807,0.002,0.799,0.003,26.067 +/- 0.264,36.485 +/- 0.257,0.651 +/- 0.003,0.807 +/- 0.002,0.799 +/- 0.003
combo_3_Clinical_CellType_Module+Mutation+Pathway_Drug_PC,985,inhibitor,45.242,4.352,57.032,5.649,0.159,0.039,0.396,0.047,0.360,0.043,45.242 +/- 4.352,57.032 +/- 5.649,0.159 +/- 0.039,0.396 +/- 0.047,0.360 +/- 0.043
combo_3_Clinical_CellType_Module+Mutation+Pathway_Drug_PC,985,dbgap_rnaseq_sample,32.161,1.183,43.657,1.423,0.497,0.012,0.705,0.008,0.700,0.009,32.161 +/- 1.183,43.657 +/- 1.423,0.497 +/- 0.012,0.705 +/- 0.008,0.700 +/- 0.009
combo_3_Clinical_CellType_Module+Mutation+Pathway_Drug_PC,985,random,26.377,0.273,36.550,0.309,0.648,0.001,0.805,0.001,0.797,0.003,26.377 +/- 0.273,36.550 +/- 0.309,0.648 +/- 0.001,0.805 +/- 0.001,0.797 +/- 0.003
combo_3_Clinical_CellType_Module+Mutation+Pathway_Drug_Embed,768,inhibitor,47.050,3.600,59.737,4.963,0.085,0.024,0.288,0.041,0.264,0.044,47.050 +/- 3.600,59.737 +/- 4.963,0.085 +/- 0.024,0.288 +/- 0.041,0.264 +/- 0.044
combo_3_Clinical_CellType_Module+Mutation+Pathway_Drug_Embed,768,dbgap_rnaseq_sample,32.068,2.150,43.566,3.297,0.504,0.057,0.709,0.040,0.704,0.040,32.068 +/- 2.150,43.566 +/- 3.297,0.504 +/- 0.057,0.709 +/- 0.040,0.704 +/- 0.040
combo_3_Clinical_CellType_Module+Mutation+Pathway_Drug_Embed,768,random,26.203,0.228,36.473,0.211,0.649,0.002,0.806,0.001,0.799,0.003,26.203 +/- 0.228,36.473 +/- 0.211,0.649 +/- 0.002,0.806 +/- 0.001,0.799 +/- 0.003
combo_3_Clinical_CellType_Module+Mutation+Pathway_Drug_PC+Drug_Embed,1241,inhibitor,45.810,3.701,58.503,5.104,0.120,0.046,0.340,0.068,0.318,0.060,45.810 +/- 3.701,58.503 +/- 5.104,0.120 +/- 0.046,0.340 +/- 0.068,0.318 +/- 0.060
combo_3_Clinical_CellType_Module+Mutation+Pathway_Drug_PC+Drug_Embed,1241,dbgap_rnaseq_sample,31.983,1.502,43.576,2.757,0.504,0.040,0.709,0.028,0.703,0.026,31.983 +/- 1.502,43.576 +/- 2.757,0.504 +/- 0.040,0.709 +/- 0.028,0.703 +/- 0.026
combo_3_Clinical_CellType_Module+Mutation+Pathway_Drug_PC+Drug_Embed,1241,random,26.221,0.222,36.599,0.251,0.647,0.003,0.804,0.002,0.797,0.003,26.221 +/- 0.222,36.599 +/- 0.251,0.647 +/- 0.003,0.804 +/- 0.002,0.797 +/- 0.003
combo_3_Gene_Expr+Mutation+Pathway_Drug_PC,1757,inhibitor,46.292,2.402,59.185,3.382,0.118,0.043,0.337,0.063,0.313,0.058,46.292 +/- 2.402,59.185 +/- 3.382,0.118 +/- 0.043,0.337 +/- 0.063,0.313 +/- 0.058
combo_3_Gene_Expr+Mutation+Pathway_Drug_PC,1757,dbgap_rnaseq_sample,31.770,1.742,43.296,3.110,0.512,0.047,0.715,0.033,0.708,0.025,31.770 +/- 1.742,43.296 +/- 3.110,0.512 +/- 0.047,0.715 +/- 0.033,0.708 +/- 0.025
combo_3_Gene_Expr+Mutation+Pathway_Drug_PC,1757,random,26.249,0.272,36.629,0.294,0.647,0.003,0.804,0.001,0.797,0.003,26.249 +/- 0.272,36.629 +/- 0.294,0.647 +/- 0.003,0.804 +/- 0.001,0.797 +/- 0.003
combo_3_Gene_Expr+Mutation+Pathway_Drug_Embed,1540,inhibitor,46.938,7.561,59.604,9.340,0.122,0.066,0.323,0.133,0.296,0.129,46.938 +/- 7.561,59.604 +/- 9.340,0.122 +/- 0.066,0.323 +/- 0.133,0.296 +/- 0.129
combo_3_Gene_Expr+Mutation+Pathway_Drug_Embed,1540,dbgap_rnaseq_sample,31.229,1.644,42.801,3.117,0.521,0.038,0.721,0.027,0.714,0.015,31.229 +/- 1.644,42.801 +/- 3.117,0.521 +/- 0.038,0.721 +/- 0.027,0.714 +/- 0.015
combo_3_Gene_Expr+Mutation+Pathway_Drug_Embed,1540,random,26.122,0.270,36.426,0.243,0.650,0.002,0.807,0.001,0.799,0.003,26.122 +/- 0.270,36.426 +/- 0.243,0.650 +/- 0.002,0.807 +/- 0.001,0.799 +/- 0.003
combo_3_Gene_Expr+Mutation+Pathway_Drug_PC+Drug_Embed,2013,inhibitor,46.198,5.347,59.052,7.316,0.107,0.047,0.319,0.077,0.296,0.066,46.198 +/- 5.347,59.052 +/- 7.316,0.107 +/- 0.047,0.319 +/- 0.077,0.296 +/- 0.066
combo_3_Gene_Expr+Mutation+Pathway_Drug_PC+Drug_Embed,2013,dbgap_rnaseq_sample,31.354,1.715,42.809,2.554,0.518,0.033,0.719,0.023,0.713,0.021,31.354 +/- 1.715,42.809 +/- 2.554,0.518 +/- 0.033,0.719 +/- 0.023,0.713 +/- 0.021
combo_3_Gene_Expr+Mutation+Pathway_Drug_PC+Drug_Embed,2013,random,26.200,0.269,36.511,0.272,0.649,0.003,0.806,0.002,0.798,0.003,26.200 +/- 0.269,36.511 +/- 0.272,0.649 +/- 0.003,0.806 +/- 0.002,0.798 +/- 0.003
