Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,22.792,33.189,0.713,0.844,0.839
Part_2,5409,23.194,33.648,0.702,0.838,0.837
Part_3,5409,22.973,33.349,0.709,0.842,0.839
Part_4,5409,23.091,33.587,0.708,0.841,0.840
Part_5,5409,23.144,33.527,0.708,0.842,0.841
Mean,5408,23.039,33.460,0.708,0.841,0.839
Std,,0.161,0.188,0.004,0.002,0.001
