Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,30.942,41.384,0.525,0.725,0.720
Part_2,5621,32.436,43.591,0.491,0.701,0.706
Part_3,5615,32.759,43.881,0.483,0.695,0.691
Part_4,5567,31.988,41.811,0.511,0.715,0.703
Part_5,5616,32.744,43.787,0.491,0.701,0.698
Mean,5596,32.174,42.891,0.500,0.707,0.704
Std,,0.756,1.195,0.017,0.012,0.011
