Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,51.920,68.052,0.153,0.331,0.344
Part_2,6326,46.377,58.686,0.221,0.447,0.421
Part_3,6322,51.566,67.690,0.163,0.351,0.362
Part_4,6322,53.001,69.121,0.130,0.274,0.296
Part_5,6306,46.498,62.765,0.183,0.389,0.408
Mean,6319,49.872,65.263,0.170,0.358,0.366
Std,,3.180,4.417,0.034,0.065,0.050
