Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,22.635,32.870,0.717,0.847,0.842
Part_2,5409,22.984,33.569,0.703,0.839,0.838
Part_3,5409,22.839,33.276,0.710,0.842,0.840
Part_4,5409,22.962,33.315,0.712,0.844,0.842
Part_5,5409,22.995,33.272,0.713,0.844,0.841
Mean,5408,22.883,33.260,0.711,0.843,0.841
Std,,0.152,0.251,0.005,0.003,0.002
