Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,51.579,70.362,0.049,0.221,0.255
Part_2,6326,45.318,58.776,0.110,0.332,0.324
Part_3,6322,52.067,70.334,0.044,0.210,0.238
Part_4,6322,49.201,67.368,0.020,0.142,0.204
Part_5,6306,47.412,65.903,0.070,0.265,0.276
Mean,6319,49.115,66.549,0.059,0.234,0.259
Std,,2.833,4.753,0.034,0.070,0.045
