Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,33.951,44.063,0.504,0.710,0.699
Part_2,5621,33.959,44.044,0.502,0.709,0.702
Part_3,5615,33.905,43.148,0.519,0.720,0.705
Part_4,5567,35.261,45.750,0.482,0.694,0.690
Part_5,5616,34.048,44.191,0.513,0.716,0.711
Mean,5596,34.225,44.239,0.504,0.710,0.701
Std,,0.582,0.941,0.014,0.010,0.008
