Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,31.672,42.383,0.507,0.712,0.698
Part_2,5621,32.390,43.727,0.500,0.707,0.700
Part_3,5615,31.470,41.448,0.524,0.724,0.706
Part_4,5567,32.569,44.087,0.487,0.698,0.691
Part_5,5616,32.431,43.646,0.511,0.715,0.708
Mean,5596,32.106,43.058,0.506,0.711,0.701
Std,,0.498,1.107,0.014,0.010,0.007
