Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,22.656,32.894,0.717,0.847,0.840
Part_2,5409,23.023,33.428,0.705,0.840,0.837
Part_3,5409,22.954,33.290,0.709,0.842,0.839
Part_4,5409,23.000,33.312,0.711,0.843,0.841
Part_5,5409,23.095,33.325,0.711,0.843,0.841
Mean,5408,22.946,33.250,0.711,0.843,0.840
Std,,0.170,0.206,0.004,0.003,0.002
