Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,31.152,41.425,0.525,0.724,0.715
Part_2,5621,31.663,42.438,0.520,0.721,0.715
Part_3,5615,30.702,40.081,0.551,0.742,0.728
Part_4,5567,32.104,43.050,0.509,0.713,0.711
Part_5,5616,31.707,42.240,0.534,0.731,0.727
Mean,5596,31.466,41.847,0.528,0.726,0.719
Std,,0.545,1.145,0.016,0.011,0.008
