Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,52.785,67.963,0.003,0.057,0.048
Part_2,6326,47.773,59.847,0.008,0.090,0.133
Part_3,6322,54.263,69.529,0.000,-0.009,0.056
Part_4,6322,50.263,65.140,0.003,-0.055,-0.009
Part_5,6306,50.054,66.215,0.002,0.041,0.123
Mean,6319,51.028,65.739,0.003,0.025,0.070
Std,,2.534,3.695,0.003,0.057,0.059
