Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,22.562,32.540,0.722,0.850,0.843
Part_2,5409,22.888,32.994,0.712,0.844,0.842
Part_3,5409,22.606,32.450,0.722,0.850,0.846
Part_4,5409,22.870,32.939,0.717,0.847,0.845
Part_5,5409,22.849,32.861,0.718,0.847,0.846
Mean,5408,22.755,32.757,0.718,0.848,0.844
Std,,0.157,0.246,0.004,0.003,0.002
