Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,51.853,68.491,0.045,0.212,0.213
Part_2,6326,46.219,58.664,0.103,0.321,0.285
Part_3,6322,52.132,68.440,0.061,0.248,0.245
Part_4,6322,48.031,64.517,0.027,0.166,0.175
Part_5,6306,47.243,63.967,0.090,0.300,0.304
Mean,6319,49.096,64.816,0.065,0.249,0.244
Std,,2.723,4.040,0.031,0.063,0.052
