patients	pearson_corr	spearman_corr
BA3078R	0.536666802710384	0.5296447195466
BA3079R	0.883144659134098	0.862122525873774
BA3083R	0.766410941918128	0.733793485653828
BA3084R	0.774825932534733	0.789891696904603
BA3087R	0.714519278622466	0.514007843998609
BA3089R	0.740384049926693	0.694536997036381
BA3094R	0.717859314967773	0.713770567957867
BA3095R	0.834653094927113	0.785714285714286
BA3098R	0.905823027946664	0.900355085615087
BA3099R	0.672858103483258	0.678041821847132
BA3109R	0.839210163179384	0.832167832167832
BA3110R	0.768384962069127	0.764538558786347
BA3114R	0.8563918689538	0.814440401047418
BA3117R	0.210263282059426	0.206614869491186
BA3118R	0.487070669186857	0.510911824853156
BA3119R	0.471928011873309	0.416647415017318
BA3126R	0.811932183505837	0.85677255781257
BA3128R	0.880045312335336	0.862275827106205
BA3130R	0.83215590853895	0.717108677210994
BA3133R	0.91087643812043	0.891947130305627
BA3135R	0.419731985619487	0.379307896095793
BA3136R	0.956176261577369	0.9
BA3137R	0.657226346941475	0.643696869168567
BA3138R	0.888894440873938	0.863122936648097
BA3139R	0.524382650627779	0.557123553956767
BA3141R	0.868679834094203	0.248484848484848
BA3142R	0.691972821030432	0.45
BA3145R	0.755255421170052	0.786768154384346
BA3146R	0.878974781574781	0.880786961231327
BA3152R	0.782424050895922	0.728710862655817
BA3153R	0.883024469794468	0.872749171421738
BA3154R	0.681331478115829	0.716926927232758
BA3157R	0.721708000395741	0.656280634431665
BA3158R	0.681798460246186	0.697935445505712
BA3162R	0.882265049958764	0.862683391029388
BA3163R	0.798047582844577	0.742928535732134
BA3164R	0.819179439824435	0.810808525057794
BA3167R	0.881294006155637	0.89691581782467
BA3169R	0.666036096917716	0.670600804232932
BA3171R	0.85790888292306	0.783385034992282
BA3174R	0.841150455187419	0.819008250715284
BA3175R	0.782494054770153	0.774571777350148
BA3176R	0.69988492575022	0.757575757575757
BA3177R	0.875566730430862	0.859508707184869
BA3181R	0.803139405357652	0.788267682480538
BA3182R	0.84189670890028	0.845036148827367
BA3183R	0.892006896251365	0.855107028935281
BA3185R	0.70567566637549	0.700640575640576
BA3186R	0.779999222919813	0.759073951502628
BA3187R	0.904908852349737	0.891390289543174
BA3189R	0.777534680042253	0.66573554594944
BA3190R	0.757402259544521	0.696015852783906
BA3191R	0.864808813466024	0.853777291830389
BA3192R	0.799173614822476	0.81811401991312
BA3195R	0.904359139211654	0.914000067073638
BA3197R	0.241397055493302	0.273305688453851
BA3199R	0.727460462762242	0.722715107536101
BA3200R	0.468622477649458	0.393095585523388
BA3203R	0.898207300464013	0.848999519618636
BA3206R	0.801970125167974	0.691448721716133
BA3207R	0.714227981216143	0.70856152054678
BA3208R	0.758704532452613	0.76032303884491
BA3210R	0.702132068099462	0.637728723643394
BA3211R	0.40956829538148	0.399125085440875
BA3212R	0.63412603888442	0.588033583483981
BA3213R	0.88207993312554	0.873976169809832
BA3214R	0.762887299240479	0.690795401542149
BA3216R	0.792658098732691	0.812525191712876
BA3217R	0.612270213465405	0.608096830414441
BA3219R	0.742710632091586	0.709710434207327
BA3222R	0.760036178256455	0.761512662006483
BA3225R	0.81333968118822	0.792468109024741
BA3226R	0.64543014399692	0.603899242286432
BA3227R	0.772915784594396	0.780311128192133
BA3228R	0.840457103651458	0.829939007028428
BA3229R	0.713610994830436	0.713622226829774
BA3230R	0.617740791993911	0.541811846689896
BA3232R	0.861230300519593	0.820385439613961
BA3234R	0.64765063821244	0.357142857142857
BA3235R	0.895818535383341	0.884236630383158
BA3237R	0.80998662938557	0.36969696969697
BA3240R	0.611443513789451	0.621998946998947
BA3242R	0.829144886127442	0.749541403491255
BA3243R	0.609193288860031	0.504652213188798
BA3245R	0.851501031342601	0.7
BA3249R	0.413753476532986	0.342512526782632
BA3250R	0.705641433161023	0.633605300836238
BA3251R	0.861415963930257	0.868852814751187
BA3255R	0.929743145174767	0.672727272727273
BA3258R	0.801336909349512	0.804035046553831
BA3260R	0.741061362581541	0.632532904161233
BA3261R	0.835279945439359	0.714558544719116
BA3264R	0.824589080828905	0.806913036311049
BA3266R	0.83296411800249	0.845180406104574
BA3268R	0.807018581710693	0.738012899292159
BA3270R	0.897719862548169	0.864803908345697
BA3271R	0.903083427641803	0.900309835766793
BA3273R	0.614174373404564	0.64511753895004
BA3275R	0.728711051702848	0.698496382043316
BA3277R	0.852313304228333	0.802493539443206
BA3283R	0.815496207495841	0.809725696467532
BA3285R	0.658508783459267	0.669823189701357
BA3286R	0.849126663381998	0.835766732018606
BA3289R	0.88000394844875	0.842686349133126
BA3290R	0.736472084443994	0.690793065005959
BA3293R	0.822566660766255	0.843634842879913
BA3295R	0.776340944714124	0.700954172299614
BA3296R	0.379889855007341	0.595238095238095
BA3297R	0.23320516385813	0.244729558888851
BA3299R	0.910852718947587	0.911974241104879
BA3300R	0.663209223534115	0.611174490971493
BA3302R	0.811538017789535	0.796550262457449
BA3305R	0.835728560093966	0.770375781016894
BA3306R	0.80978383106871	0.828500185460856
BA3308R	0.590541235660345	0.564648047833417
BA3310R	0.564840608968592	0.523602705308575
BA3311R	0.746828961709392	0.798835808209186
BA3312R	0.785331024185707	0.742479280550167
BA3315R	0.825387675668919	0.4
BA3317R	0.644271339431458	0.637827051490836
BA3318R	0.594528480082822	0.676340280079873
BA3319R	0.863499272686635	0.874568626781016
BA3324R	0.852099042073348	0.847652489544701
BA3325R	0.845294116987768	0.828218066200629
BA3326R	0.812249073383061	0.780948499567503
BA3328R	0.842865280623161	0.823090037848055
BA3329R	0.70447905742004	0.721212121212121
BA3332R	0.676684726361581	0.658592671672783
BA3333R	0.833559055254558	0.833701753262118
BA3334R	0.834524692084577	0.818665318621661
BA3335R	0.818277453742179	0.828571428571429
BA3339R	0.0922379212421276	0.116666666666667
BA3341R	0.810694324354306	0.736834462343334
BA3345R	0.85747603750005	0.840945316815277
BA3347R	0.845944682772992	0.803588978588979
BA3351R	0.762668263197155	0.713922922397136
BA3352R	0.872088384125939	0.866908442443992
BA3353R	0.608189868496301	0.591898947129516
BA3357R	0.600175968208875	0.539537972571638
BA3362R	0.815112503655165	0.843103183769262
BA3367R	0.758381609369969	0.733719166800969
BA3369R	0.765792688949715	0.766168593787164
BA3373R	0.645951456942439	0.660489349776905
BA3374R	0.699786667825468	0.684070818574321
BA3375R	0.68219133394214	0.618730532822055
BA3376R	0.557414575421854	0.524054892475945
BA3379R	0.752035073447478	0.690206564924151
BA3380R	0.712391369837005	0.698561875024963
BA3381R	0.866539069770824	0.848813859041796
BA3384R	0.733011065924323	0.692109548750094
BA3385R	0.764617011590121	0.762898248134272
BA3386R	0.736371744761308	0.72110930366249
BA3388R	0.734679085846454	0.730196580772406
BA3390R	0.679718971222589	0.671041359795275
BA3394R	0.782199380689443	0.772578061559798
BA3395R	0.83099956481326	0.79656862745098
BA3397R	0.808185657812763	0.811194402798601
BA3399R	0.736432409447895	0.687248481022647
BA3400R	0.831000332134828	0.774241911697137
BA3403R	0.66714482191389	0.613923576296691
BA3406R	0.56484816592852	0.565173801957942
BA3407R	0.82525342377774	0.821078431372549
BA3411R	0.917557130072191	0.869344275230806
BA3412R	0.745948636205556	0.668669869262074
BA3415R	0.695317530538879	0.687979765022779
BA3416R	0.360445059948382	0.293693506037093
BA3417R	0.805142365148553	0.79472621972622
BA3418R	0.514133591847505	0.561196736659383
BA3421R	0.905961515279335	0.883987382601307
BA3422R	0.733512080740837	0.724119637625671
BA3423R	0.809688245625605	0.784597246569263
BA3431R	0.823365728580348	0.818980343980344
BA3433R	0.715105233199369	0.722584802615878
BA3434R	0.840979603636627	0.78554141036396
BA3436R	0.940756599963145	0.612121212121212
BA3438R	0.826071957860637	0.810602391112136
BA3445R	0.61373082580687	0.618823529411765
BA3446R	0.793982724117146	0.737437319961592
BA3448R	0.857836588261328	0.75
BA3449R	0.737982706448426	0.732582006458885
BA3451R	0.821043842209132	0.74263309506028
BA3452R	0.797171144637896	0.798163214791475
BA3454R	0.462619482586467	0.527949377916707
