drug	pearson_corr	spearman_corr
17-AAG (Tanespimycin)	0.527715917430056	0.537602565136226
A-674563	0.054015200529501	0.193921095008052
Afatinib (BIBW-2992)	0.154003136730139	0.17564987347596
AGI-5198	0.288026575527515	0.227090654579065
AGI-6780	0.472659187675832	0.317189593227683
Alisertib (MLN8237)	0.278283515510299	0.231570789891644
Artemisinin	0.249426811835807	0.0863444794198428
AT7519	0.306078169369194	0.267863634208405
Axitinib (AG-013736)	0.458862511247388	0.445591969053887
Azacytidine	0.198662838046153	0.209253106056205
AZD1152-HQPA (AZD2811)	0.500996633468613	0.431615715309291
AZD1480	0.242814979219482	0.275219304902417
Bay 11-7085	0.255278919337104	0.181298827314037
BEZ235	0.21972970371967	0.244705823982422
BMS-345541	0.133259383198569	0.0986024844720497
Bortezomib (Velcade)	0.280807365492074	0.331888936743885
Bosutinib (SKI-606)	0.434481102321359	0.458102459995223
Cabozantinib	0.519932010528394	0.46826259489303
Canertinib (CI-1033)	0.252195902229985	0.230361537560061
Cediranib (AZD2171)	0.455321794550215	0.573013903996736
CHIR-99021	0.154299559922131	0.184791828057162
CI-1040 (PD184352)	0.355845912091542	0.361432537212745
Crenolanib	0.455258595661807	0.43654779016666
Crizotinib (PF-2341066)	0.310092864438192	0.274570590699623
CYT387	0.165980503380781	0.179884165273465
Cytarabine	0.343564564306346	0.377543728484323
Dasatinib	0.55484695442582	0.554045784723751
DBZ	0.201568656181435	0.186414199016699
Doramapimod (BIRB 796)	0.425236744501492	0.407501199771131
Dovitinib (CHIR-258)	0.451470034352388	0.421862475101874
Elesclomol	0.629875291749557	0.606978602375184
Entospletinib (GS-9973)	0.392384244576476	0.395690710301716
Entrectinib	0.145357473880614	0.151099674319489
Erlotinib	0.465916150070624	0.43440342339574
Flavopiridol	0.236915076150062	0.294152389292089
Foretinib (XL880)	0.460442683808274	0.435774687845669
GDC-0879	0.139480451276091	0.0676579701946266
GDC-0941	0.351971281560074	0.359127079816735
Gefitinib	0.276855928954442	0.265419564955169
Gilteritinib	0.278025048336179	0.252161582991437
GSK-1838705A	0.310219366923417	0.2855669574593
GSK-1904529A	0.126763602825885	0.122583939010665
GSK690693	0.17355146723233	0.166290501048113
GW-2580	0.369529481298948	0.392310636349346
H-89	0.279430380719271	0.234203097536749
Ibrutinib (PCI-32765)	0.293503643233309	0.301821766518982
Idelalisib	0.409751285922947	0.470448130454691
Imatinib	0.24557252051411	0.288183826855791
Indisulam	0.0395239714292527	0.0424178393202356
INK-128	0.407380903921484	0.419597445212704
JAK Inhibitor I	0.160038278630389	0.170603648157828
JNJ-38877605	0.311141878808437	0.248787061994609
JNJ-7706621	0.16135195830489	0.189724480629726
JQ1	0.234696349023272	0.263291447338869
KI20227	0.519821751844367	0.512559052498503
KU-55933	0.299276559154133	0.190191005900618
KW-2449	0.509338644993474	0.481344461989623
Lapatinib	0.236490220308946	0.193336592737455
Lenalidomide	0.435370851276052	0.295867862144921
Lenvatinib	0.432147094010308	0.433030220886008
Linifanib (ABT-869)	0.503945159253576	0.544300331344071
LY-333531	0.458089842840252	0.445293142902233
Masitinib (AB-1010)	0.286249648958294	0.257581496813427
MGCD-265	0.321707866704208	0.381358829115807
Midostaurin	0.380198574443972	0.379733715089719
MK-2206	0.534206449320811	0.576364850087022
MLN120B	0.148104124877878	0.164262321276674
MLN8054	0.27391383044849	0.242576567839575
Motesanib (AMG-706)	0.603676764998843	0.60907986192741
Neratinib (HKI-272)	0.262644020095843	0.275345915070175
Nilotinib	0.326051868819281	0.46278988943769
Nutlin 3a	0.227309933110477	0.273210197154235
NVP-ADW742	0.145020178169839	0.212145362305929
NVP-TAE684	0.397766256747445	0.404814115889696
Olaparib	0.118628768505914	0.198479894848628
OTX-015	0.410198548117744	0.463702950278779
Palbociclib	0.29595451536643	0.327233645746076
Panobinostat	0.570881726187914	0.524445574374044
Pazopanib (GW786034)	0.462880565465184	0.420159062318365
PD173955	0.296321344790938	0.294721023302768
Pelitinib (EKB-569)	0.395733902302144	0.380779464025453
PHA-665752	0.394234164614569	0.408323967664554
PHT-427	0.215127459656199	0.318646790234366
PI-103	0.286518363608301	0.276410686088105
PP242	0.261672420858921	0.298740510697032
PRT062607	0.433762293113869	0.44638021082359
Quizartinib (AC220)	0.314910288894232	0.284325206237545
RAF265 (CHIR-265)	0.367477828167033	0.312860594794261
Rapamycin	0.628791619192215	0.637827858416094
Regorafenib (BAY 73-4506)	0.447005926563843	0.426626850777125
Roscovitine (CYC-202)	0.221923384090043	0.180625101351162
Ruxolitinib (INCB018424)	0.229802073557184	0.197881066302119
S31-201	0.37087033705582	0.205645896194893
Saracatinib (AZD0530)	0.466198511352214	0.521043714515606
SB-431542	0.25838943469458	0.280969514936121
Selinexor	0.0453751251558307	0.0149002412567679
Selumetinib (AZD6244)	0.620485424222457	0.635973990730714
SGX-523	0.115332958284841	0.112955471643102
SNS-032 (BMS-387032)	0.309283398893178	0.23617004289972
Sorafenib	0.61028893102658	0.556572347421221
SR9011	0.391276379917583	0.317116268485624
STO609	0.119281850622407	0.126212397908948
SU11274	0.383621765887426	0.377994211191696
Sunitinib	0.54335390288587	0.486341709266326
TG100-115	0.288149988112595	0.274755032341165
Tivozanib (AV-951)	0.560011559292535	0.549474482780421
Tofacitinib (CP-690550)	0.338968826364383	0.375435872940053
Tozasertib (VX-680)	0.31809916118487	0.250464934947477
Trametinib (GSK1120212)	0.62658580895851	0.610116662998019
Vandetanib (ZD6474)	0.356725352698397	0.310999932117765
Vatalanib (PTK787)	0.282303412033031	0.257211344649868
Vemurafenib (PLX-4032)	0.099712210818541	0.157551891195164
Venetoclax	0.815534244096505	0.795041295029356
Vismodegib (GDC-0449)	0.174287713473473	0.275467087958608
Volasertib (BI-6727)	0.13679923085988	0.112699510353218
VX-745	0.351122273839043	0.388285168378314
YM-155	0.377663858214518	0.412552734293693
