Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,32.932,44.064,0.473,0.687,0.682
Part_2,5621,32.800,44.117,0.485,0.697,0.695
Part_3,5615,32.721,43.154,0.483,0.695,0.689
Part_4,5567,34.104,45.613,0.457,0.676,0.675
Part_5,5616,33.570,44.880,0.482,0.694,0.691
Mean,5596,33.225,44.366,0.476,0.690,0.686
Std,,0.594,0.928,0.012,0.009,0.008
