Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,32.514,43.585,0.489,0.700,0.690
Part_2,5621,32.901,44.300,0.487,0.698,0.694
Part_3,5615,32.610,42.924,0.494,0.703,0.693
Part_4,5567,33.823,45.377,0.467,0.684,0.680
Part_5,5616,33.595,44.892,0.487,0.698,0.692
Mean,5596,33.089,44.216,0.485,0.697,0.690
Std,,0.590,0.985,0.010,0.007,0.006
