Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,49.608,65.126,0.079,0.281,0.290
Part_2,6326,44.290,56.896,0.088,0.296,0.298
Part_3,6322,50.450,65.569,0.087,0.295,0.301
Part_4,6322,45.756,60.862,0.042,0.205,0.222
Part_5,6306,45.114,60.516,0.126,0.355,0.374
Mean,6319,47.044,61.794,0.084,0.286,0.297
Std,,2.790,3.600,0.030,0.054,0.054
