Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,23.137,33.322,0.708,0.842,0.835
Part_2,5409,23.410,33.767,0.698,0.836,0.834
Part_3,5409,23.085,33.153,0.710,0.843,0.839
Part_4,5409,23.364,33.570,0.706,0.841,0.839
Part_5,5409,23.293,33.626,0.705,0.840,0.839
Mean,5408,23.258,33.488,0.705,0.840,0.837
Std,,0.142,0.247,0.005,0.003,0.002
