Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,49.207,65.143,0.085,0.291,0.295
Part_2,6326,43.564,56.238,0.105,0.324,0.326
Part_3,6322,50.408,65.685,0.080,0.284,0.281
Part_4,6322,44.422,59.254,0.072,0.268,0.260
Part_5,6306,45.768,62.017,0.102,0.319,0.341
Mean,6319,46.674,61.667,0.089,0.297,0.301
Std,,2.997,3.989,0.014,0.024,0.033
