Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,50.948,67.458,0.039,0.197,0.230
Part_2,6326,44.852,57.478,0.085,0.291,0.295
Part_3,6322,51.876,67.862,0.040,0.200,0.233
Part_4,6322,45.804,61.829,0.027,0.163,0.201
Part_5,6306,46.594,63.550,0.070,0.265,0.311
Mean,6319,48.015,63.635,0.052,0.223,0.254
Std,,3.179,4.291,0.024,0.053,0.047
