Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,32.521,43.727,0.476,0.690,0.691
Part_2,5621,33.310,45.084,0.460,0.678,0.687
Part_3,5615,33.600,45.324,0.454,0.674,0.671
Part_4,5567,33.291,44.222,0.463,0.680,0.671
Part_5,5616,34.127,45.837,0.447,0.669,0.668
Mean,5596,33.370,44.839,0.460,0.678,0.678
Std,,0.582,0.853,0.011,0.008,0.011
