Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,23.311,33.304,0.709,0.842,0.833
Part_2,5409,23.670,33.706,0.700,0.836,0.831
Part_3,5409,23.395,33.251,0.709,0.842,0.836
Part_4,5409,23.670,33.680,0.705,0.840,0.835
Part_5,5409,23.595,33.693,0.704,0.839,0.835
Mean,5408,23.528,33.527,0.705,0.840,0.834
Std,,0.166,0.229,0.004,0.002,0.002
