Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,23.142,33.412,0.709,0.842,0.838
Part_2,5409,23.520,33.869,0.700,0.836,0.837
Part_3,5409,23.199,33.353,0.710,0.842,0.841
Part_4,5409,23.317,33.613,0.708,0.842,0.841
Part_5,5409,23.451,33.761,0.706,0.840,0.841
Mean,5408,23.326,33.602,0.707,0.840,0.840
Std,,0.161,0.221,0.004,0.003,0.002
