Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,23.232,33.390,0.707,0.841,0.833
Part_2,5409,23.547,33.908,0.695,0.834,0.831
Part_3,5409,23.257,33.429,0.705,0.840,0.836
Part_4,5409,23.414,33.702,0.703,0.839,0.836
Part_5,5409,23.402,33.689,0.703,0.839,0.837
Mean,5408,23.370,33.624,0.703,0.839,0.835
Std,,0.129,0.214,0.005,0.003,0.003
