Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,31.399,41.898,0.520,0.721,0.716
Part_2,5621,31.864,42.891,0.510,0.714,0.715
Part_3,5615,31.248,41.091,0.533,0.730,0.721
Part_4,5567,32.574,43.919,0.493,0.702,0.702
Part_5,5616,32.212,43.218,0.516,0.718,0.718
Mean,5596,31.859,42.603,0.514,0.717,0.714
Std,,0.552,1.115,0.015,0.010,0.007
