Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,48.732,65.622,0.171,0.367,0.406
Part_2,6326,43.741,56.267,0.230,0.460,0.459
Part_3,6322,49.562,65.816,0.174,0.371,0.408
Part_4,6322,48.151,65.061,0.146,0.313,0.353
Part_5,6306,42.567,59.516,0.192,0.403,0.369
Mean,6319,46.551,62.456,0.183,0.383,0.419
Std,,3.168,4.331,0.031,0.054,0.047
