"feature","p_value","q_value","method","beta","r_squared"
"LCP1_Expr",7.15972576811577e-10,8.42081382954525e-09,"linear_regression",-0.0720749416072208,0.223001904894455
"KLF4_Expr",6.14112965130353e-19,3.59558735746552e-17,"linear_regression",-0.0265277019920404,0.408436606092881
"IRF4_Expr",1.29133367980399e-13,4.05009199574888e-12,"linear_regression",-0.0307095798963534,0.30546265011858
"NUMA1_Expr",7.65403146161308e-10,8.9010365873815e-09,"linear_regression",0.116990517536163,0.222329274058689
"USP8_Expr",2.02211500586736e-10,2.75380135667463e-09,"linear_regression",-0.117287474729782,0.235640633071995
"COL2A1_Expr",3.24720487906883e-11,5.09220765126703e-10,"linear_regression",0.0219430362810332,0.253589164983409
"TCF12_Expr",1.53550461584556e-07,1.18600543089564e-06,"linear_regression",0.102761635484446,0.167237852182212
"ZFHX3_Expr",5.95102405448187e-12,1.09987676721227e-10,"linear_regression",-0.028727698844015,0.269889866072943
"ERBB2_Expr",6.00773348323736e-10,7.31529900605961e-09,"linear_regression",0.0529414163331278,0.224766826744426
"PRCC_Expr",3.85269405554964e-08,3.35087256091922e-07,"linear_regression",0.143799761178581,0.181923848879507
"ARHGAP26_Expr",4.75352876491497e-24,4.47263842880636e-22,"linear_regression",-0.0689925276716471,0.49320765574827
"ZMYM3_Expr",7.18436308034671e-08,5.8549730615424e-07,"linear_regression",0.0502025822964121,0.175332594763016
"NONO_Expr",1.31186594991123e-09,1.45182551102091e-08,"linear_regression",0.116198232188616,0.216881373048352
"FOXO1_Expr",1.74260009322529e-08,1.59609831547626e-07,"linear_regression",-0.0283403728995797,0.190250534789971
"JAZF1_Expr",7.94245036354521e-20,5.48029075084619e-18,"linear_regression",-0.0381797862290701,0.424108264165895
"MSI2_Expr",7.3281573916018e-09,7.02281750028506e-08,"linear_regression",0.028975675237348,0.199257360176063
"KAT6B_Expr",2.22390226934963e-07,1.68010134947217e-06,"linear_regression",0.0705026939164548,0.163266319142643
"ARHGAP35_Expr",1.06062258738645e-07,8.34211395672243e-07,"linear_regression",0.0864033302384806,0.171189432427143
"FGFR4_Expr",4.71556962436464e-08,4.00696973598698e-07,"linear_regression",0.0367301256028669,0.179791092379268
"TGFBR2_Expr",9.10562405249116e-08,7.30567511188244e-07,"linear_regression",-0.0567514678192306,0.172814056443623
