"CommonFeature","Drugs"
"RNF213_Expr",1
"RP11-129J12.2_Expr",1
"RP11-388P9.2_Expr",1
"SETBP1_Expr",1
"SF3A1_Mut",1
"SYK_Expr",1
"TAL1_Expr",1
"TNFRSF14_Expr",1
"TP63_Expr",1
"UV_response_down",1
"WT1_Expr",1
"WT1-AS_Expr",1
"XPC_Expr",1
"YWHAE_Expr",1
"ZEB1_Expr",1
"ZMYM3_Expr",1
