"CommonFeature","Drugs"
"ARID1A_Expr",2
"ATIC_Expr",2
"ATP1A1_Expr",2
"ATR_Expr",2
"AUC__Barrier_genes",2
"AUC__Epithelial_mesenchymal_transition",2
"AUC__Estrogen_Dependent_Breast_Cancer_Signaling",2
"AUC__Hypoxia",2
"AUC__Oxidative_phosphorylation",2
"AUC__p53_pathway",2
"AUC__TNFR1_Signaling",2
"AUC__UV_response_down",2
"AUC__UV_response_up",2
"BAP1_Expr",2
"BCL11A_Expr",2
"BCOR_Expr",2
"CASC10_Expr",2
"CBFB_Expr",2
"CD79B_Expr",2
"CDK4_Expr",2
"CEP89_Expr",2
"DDR2_Expr",2
"DDX10_Expr",2
"DEFA1_Expr",2
"DEFA1B_Expr",2
"DEFA3_Expr",2
"EIF3E_Expr",2
"EPX_Expr",2
"FBXW7_Expr",2
"GATA2_Expr",2
"GPC6_Expr",2
"HNRNPA2B1_Expr",2
"HSP90AA1_Expr",2
"IGKV2-23_Expr",2
"M0",2
"M23",2
"M9",2
"MAPK_up_genes",2
"MSH2_Expr",2
"MYCN_Expr",2
"NACA_Expr",2
"Progenitor-like",2
"SDHD_Expr",2
"SF3A1_Mut",2
"SH2B3_Expr",2
"SMARCE1_Expr",2
"SND1_Expr",2
"TFPT_Expr",2
"THBS1_Expr",2
"TPM4_Expr",2
"TSC2_Expr",2
"WT1-AS_Expr",2
"ACSL3_Expr",1
"ACVR1B_Expr",1
"ACVR2A_Expr",1
"AKT1_Expr",1
"ARID2_Expr",1
"ATRX_Expr",1
"AUC__ERK_MAPK_Signaling",1
"AUC__ERK5_Signaling",1
"AUC__PTEN_Signaling",1
"AUC__TGF_beta_signaling",1
"AUC__UVA_Induced_MAPK_Signaling",1
"BCL10_Expr",1
"BCL3_Expr",1
"BIRC6_Expr",1
"BMPR1A_Expr",1
"BRD3_Expr",1
"C20orf166-AS1_Expr",1
"CANT1_Expr",1
"CBFA2T3_Expr",1
"CBL_Expr",1
"CDC42BPA_Expr",1
"CDC73_Expr",1
"CDH2_Expr",1
"CLTCL1_Expr",1
"COL4A5_Expr",1
"CREBBP_Expr",1
"CRISP3_Expr",1
"CTCF_Expr",1
"CUX1_Expr",1
"CYSLTR2_Expr",1
"CYYR1_Expr",1
"DDIT4L_Expr",1
"DNA_repair",1
"EIF1AX_Expr",1
"EIF4A2_Expr",1
"ELL_Expr",1
"ERCC4_Expr",1
"ERG_Expr",1
"ETV1_Expr",1
"ETV6_Expr",1
"FANCG_Expr",1
