Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,26.689,36.677,0.663,0.814,0.810
Part_2,5409,26.513,36.568,0.665,0.815,0.812
Part_3,5409,26.728,36.916,0.662,0.813,0.811
Part_4,5409,26.555,36.860,0.656,0.810,0.809
Part_5,5409,26.661,36.736,0.665,0.815,0.814
Mean,5408,26.629,36.751,0.662,0.813,0.811
Std,,0.091,0.140,0.004,0.002,0.002
