Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,34.283,44.151,0.495,0.704,0.687
Part_2,5621,34.423,44.574,0.486,0.697,0.686
Part_3,5615,35.173,44.432,0.489,0.700,0.681
Part_4,5567,35.944,46.223,0.469,0.685,0.676
Part_5,5616,35.966,45.958,0.476,0.690,0.679
Mean,5596,35.158,45.068,0.483,0.695,0.682
Std,,0.803,0.951,0.010,0.008,0.005
