Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,26.385,36.701,0.656,0.810,0.805
Part_2,5409,26.195,36.721,0.657,0.811,0.808
Part_3,5409,26.105,36.567,0.661,0.813,0.810
Part_4,5409,26.092,36.590,0.656,0.810,0.807
Part_5,5409,26.466,37.070,0.653,0.808,0.807
Mean,5408,26.249,36.730,0.657,0.810,0.807
Std,,0.169,0.202,0.003,0.002,0.002
