Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,50.919,68.177,0.114,0.219,0.271
Part_2,6326,46.460,58.950,0.145,0.312,0.319
Part_3,6322,52.279,68.820,0.108,0.188,0.245
Part_4,6322,50.535,67.522,0.101,0.126,0.186
Part_5,6306,44.693,61.885,0.127,0.264,0.348
Mean,6319,48.977,65.071,0.119,0.222,0.274
Std,,3.232,4.397,0.017,0.071,0.063
