Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,52.572,69.212,0.002,0.050,0.062
Part_2,6326,46.399,59.602,0.011,0.103,0.135
Part_3,6322,53.596,69.728,0.000,-0.002,0.045
Part_4,6322,46.798,62.443,0.002,0.039,0.081
Part_5,6306,48.421,65.663,0.008,0.087,0.181
Mean,6319,49.557,65.330,0.005,0.055,0.101
Std,,3.327,4.349,0.005,0.041,0.056
