Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,36.544,48.330,0.348,0.590,0.596
Part_2,5621,37.011,49.183,0.349,0.591,0.602
Part_3,5615,37.581,49.056,0.325,0.570,0.570
Part_4,5567,38.636,51.200,0.302,0.550,0.559
Part_5,5616,38.584,51.061,0.321,0.566,0.571
Mean,5596,37.671,49.766,0.329,0.573,0.580
Std,,0.933,1.288,0.020,0.017,0.018
