Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,25.908,36.192,0.674,0.821,0.820
Part_2,5409,25.624,35.851,0.679,0.824,0.824
Part_3,5409,25.712,36.005,0.680,0.825,0.824
Part_4,5409,25.733,36.060,0.673,0.820,0.819
Part_5,5409,25.796,35.976,0.682,0.826,0.824
Mean,5408,25.755,36.017,0.678,0.823,0.822
Std,,0.106,0.124,0.004,0.003,0.002
