Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,35.831,47.571,0.390,0.624,0.608
Part_2,5621,37.099,49.918,0.352,0.593,0.584
Part_3,5615,36.114,48.382,0.381,0.617,0.603
Part_4,5567,36.546,48.272,0.367,0.606,0.587
Part_5,5616,37.325,49.672,0.359,0.599,0.584
Mean,5596,36.583,48.763,0.370,0.608,0.593
Std,,0.633,0.996,0.016,0.013,0.011
