Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,35.365,47.081,0.398,0.631,0.602
Part_2,5621,36.269,48.597,0.379,0.616,0.597
Part_3,5615,37.018,48.563,0.359,0.599,0.569
Part_4,5567,37.868,50.278,0.346,0.588,0.571
Part_5,5616,37.493,49.876,0.366,0.605,0.583
Mean,5596,36.803,48.879,0.370,0.608,0.584
Std,,1.001,1.261,0.020,0.016,0.015
