Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,51.003,67.614,0.031,0.175,0.191
Part_2,6326,45.802,57.980,0.054,0.232,0.219
Part_3,6322,52.761,68.654,0.013,0.116,0.151
Part_4,6322,47.398,63.404,0.003,0.055,0.100
Part_5,6306,47.869,64.819,0.031,0.177,0.227
Mean,6319,48.967,64.494,0.026,0.151,0.178
Std,,2.838,4.206,0.020,0.068,0.053
