Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,49.745,65.729,0.090,0.300,0.304
Part_2,6326,45.214,57.980,0.057,0.238,0.249
Part_3,6322,51.217,66.738,0.068,0.260,0.284
Part_4,6322,45.922,61.292,0.029,0.170,0.194
Part_5,6306,46.031,62.007,0.106,0.325,0.363
Mean,6319,47.626,62.749,0.070,0.259,0.279
Std,,2.676,3.543,0.030,0.060,0.063
