data_type,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
Only_PC_Feat_Var,inhibitor,50.64,5.97,62.926,7.011,0.058,0.018,0.228,0.131,0.259,0.123,50.640 +/- 5.970,62.926 +/- 7.011,0.058 +/- 0.018,0.228 +/- 0.131,0.259 +/- 0.123
Only_PC_Feat_Var,dbgap_rnaseq_sample,34.186,1.546,45.755,2.979,0.454,0.04,0.673,0.029,0.669,0.019,34.186 +/- 1.546,45.755 +/- 2.979,0.454 +/- 0.040,0.673 +/- 0.029,0.669 +/- 0.019
Only_PC_Feat_Var,random,33.675,0.254,45.263,0.446,0.465,0.004,0.682,0.003,0.677,0.004,33.675 +/- 0.254,45.263 +/- 0.446,0.465 +/- 0.004,0.682 +/- 0.003,0.677 +/- 0.004
Embed_Feat_Var,inhibitor,49.851,2.242,62.071,3.37,0.053,0.018,0.258,0.097,0.264,0.096,49.851 +/- 2.242,62.071 +/- 3.370,0.053 +/- 0.018,0.258 +/- 0.097,0.264 +/- 0.096
Embed_Feat_Var,dbgap_rnaseq_sample,34.134,0.996,45.847,2.103,0.453,0.036,0.672,0.027,0.669,0.026,34.134 +/- 0.996,45.847 +/- 2.103,0.453 +/- 0.036,0.672 +/- 0.027,0.669 +/- 0.026
Embed_Feat_Var,random,33.409,0.339,45.099,0.509,0.468,0.004,0.684,0.003,0.679,0.004,33.409 +/- 0.339,45.099 +/- 0.509,0.468 +/- 0.004,0.684 +/- 0.003,0.679 +/- 0.004
ChemBERTa_Feat_Var,inhibitor,49.315,3.809,60.916,4.189,0.064,0.035,0.145,0.112,0.243,0.104,49.315 +/- 3.809,60.916 +/- 4.189,0.064 +/- 0.035,0.245 +/- 0.112,0.243 +/- 0.104
ChemBERTa_Feat_Var,dbgap_rnaseq_sample,33.831,0.917,45.537,1.537,0.457,0.036,0.676,0.026,0.672,0.026,33.831 +/- 0.917,45.537 +/- 1.537,0.457 +/- 0.036,0.676 +/- 0.026,0.672 +/- 0.026
ChemBERTa_Feat_Var,random,33.3,0.337,44.984,0.533,0.471,0.005,0.686,0.004,0.681,0.005,33.300 +/- 0.337,44.984 +/- 0.533,0.471 +/- 0.005,0.686 +/- 0.004,0.681 +/- 0.005
MolFormer_Feat_Var,inhibitor,49.71,3.147,62.038,4.727,0.059,0.015,0.262,0.125,0.252,0.107,49.710 +/- 3.147,62.038 +/- 4.727,0.059 +/- 0.015,0.262 +/- 0.125,0.252 +/- 0.107
MolFormer_Feat_Var,dbgap_rnaseq_sample,34.431,1.772,46.086,2.981,0.445,0.028,0.667,0.021,0.663,0.016,34.431 +/- 1.772,46.086 +/- 2.981,0.445 +/- 0.028,0.667 +/- 0.021,0.663 +/- 0.016
MolFormer_Feat_Var,random,33.465,0.316,45.199,0.495,0.465,0.005,0.682,0.004,0.678,0.005,33.465 +/- 0.316,45.199 +/- 0.495,0.465 +/- 0.005,0.682 +/- 0.004,0.678 +/- 0.005
