feature,feature_value,shap_value,sample_idx,true_label,pred_val,base_value
LS_1,0.9361146935087168,16.003292083740234,11511,254.031908100948,254.03027,197.29434204101562
LS_242,1.1327154564930908,15.728633880615234,11511,254.031908100948,254.03027,197.29434204101562
LS_155,0.8260340574468659,13.180313110351562,11511,254.031908100948,254.03027,197.29434204101562
LS_202,1.2225249002462233,12.848064422607422,11511,254.031908100948,254.03027,197.29434204101562
DEFA1_Expr,1.086822642674549,-8.46963882446289,11511,254.031908100948,254.03027,197.29434204101562
M14,1.1212831490743982,7.616664886474609,11511,254.031908100948,254.03027,197.29434204101562
DEFB1_Expr,-0.009304427096043602,4.147819519042969,11511,254.031908100948,254.03027,197.29434204101562
IGKV2-23_Expr,-0.9279236853992464,3.957935333251953,11511,254.031908100948,254.03027,197.29434204101562
PHACTR3_Expr,1.2087491506038677,-3.8070907592773438,11511,254.031908100948,254.03027,197.29434204101562
LS_131,1.6650391308046757,-3.420642852783203,11511,254.031908100948,254.03027,197.29434204101562
C20orf166-AS1_Expr,-0.34560853506726974,-3.2338409423828125,11511,254.031908100948,254.03027,197.29434204101562
M7,-0.3764949652359241,-3.1782455444335938,11511,254.031908100948,254.03027,197.29434204101562
ZFP57_Expr,-0.6418995841481464,-3.0580978393554688,11511,254.031908100948,254.03027,197.29434204101562
MAFB_Expr,1.5132747591037026,3.0115890502929688,11511,254.031908100948,254.03027,197.29434204101562
NR4A3_Expr,-0.8175697643450707,2.8954544067382812,11511,254.031908100948,254.03027,197.29434204101562
FAT1_Expr,-0.4467462820104278,2.8039398193359375,11511,254.031908100948,254.03027,197.29434204101562
RXFP1_Expr,-0.6931935180815634,2.6024742126464844,11511,254.031908100948,254.03027,197.29434204101562
LINC00982_Expr,-0.9954636664808103,2.5249671936035156,11511,254.031908100948,254.03027,197.29434204101562
LS_127,0.2066474503138399,2.515514373779297,11511,254.031908100948,254.03027,197.29434204101562
HOXB-AS3_Expr,-1.2512377478524481,-2.422313690185547,11511,254.031908100948,254.03027,197.29434204101562
TNC_Expr,0.611566753959256,-2.387054443359375,11511,254.031908100948,254.03027,197.29434204101562
MYO18B_Expr,-0.20773107737305796,2.2999954223632812,11511,254.031908100948,254.03027,197.29434204101562
DOCK1_Expr,-0.8515335360000589,-2.297679901123047,11511,254.031908100948,254.03027,197.29434204101562
LS_76,-1.0175916637736808,2.2490997314453125,11511,254.031908100948,254.03027,197.29434204101562
