drug,n,mean_pred,median_pred,std_pred,lognorm_mu,lognorm_sigma,sw_stat,sw_pval,dp_stat,dp_pval,ks_stat,ks_pval,is_lognormal
Imatinib,177,232.2052,232.3519,10.3444,5.4466,0.0447,0.9909,0.3231,3.0763,0.2148,0.0399,0.9306,True
Indisulam,117,201.2376,201.8374,10.4667,5.3031,0.0527,0.9778,0.0496,5.7080,0.0576,0.0702,0.5864,False
JAK Inhibitor I,153,174.7724,176.5229,17.5023,5.1584,0.1022,0.9804,0.0285,4.7682,0.0922,0.0677,0.4651,False
JNJ-28312141,28,150.1777,148.3863,32.4236,4.9880,0.2262,0.9348,0.0813,1.9473,0.3777,0.1481,0.5229,True
JNJ-38877605,160,243.3667,242.2645,7.3783,5.4941,0.0303,0.9916,0.4652,0.4458,0.8002,0.0640,0.5083,True
JNJ-7706621,158,237.1641,237.5414,7.1728,5.4683,0.0303,0.9909,0.4100,1.1625,0.5592,0.0364,0.9800,True
JQ1,156,143.4027,144.0957,19.1065,4.9564,0.1384,0.9614,0.0002,8.5525,0.0139,0.0808,0.2466,False
KI20227,113,196.2444,199.5128,25.7563,5.2704,0.1365,0.9462,0.0002,8.4865,0.0144,0.1102,0.1191,False
KU-55933,160,243.5950,244.9095,9.7840,5.4947,0.0408,0.9587,0.0001,24.2094,0.0000,0.0879,0.1587,False
KW-2449,155,205.6868,211.2371,26.4647,5.3174,0.1379,0.9184,0.0000,26.9668,0.0000,0.1400,0.0041,False
LY-333531,115,210.5113,212.3170,15.0028,5.3470,0.0726,0.9653,0.0044,5.9815,0.0503,0.1089,0.1212,False
Lapatinib,150,229.2290,228.1128,9.1420,5.4339,0.0399,0.9849,0.1001,0.2417,0.8862,0.0789,0.2916,True
Lenalidomide,157,251.1920,254.2381,14.6519,5.5245,0.0602,0.9110,0.0000,29.3975,0.0000,0.1131,0.0333,False
Lenvatinib,154,178.1803,178.7500,20.2476,5.1763,0.1148,0.9889,0.2607,2.2729,0.3210,0.0518,0.7835,True
Linifanib (ABT-869),158,202.9220,202.6219,24.9708,5.3052,0.1245,0.9758,0.0071,9.4808,0.0087,0.0713,0.3804,False
Lovastatin,23,242.5535,243.4412,3.7631,5.4911,0.0155,0.9680,0.6403,1.1524,0.5620,0.1452,0.6646,True
MGCD-265,159,210.0466,210.7577,16.3202,5.3443,0.0792,0.9796,0.0188,8.9477,0.0114,0.0447,0.8938,False
MK-2206,155,215.5113,215.4515,19.8396,5.3687,0.0930,0.9739,0.0048,16.1617,0.0003,0.0729,0.3640,False
MLN120B,162,239.0949,239.3667,7.2285,5.4764,0.0305,0.9760,0.0064,15.0710,0.0005,0.0562,0.6647,False
MLN8054,157,254.6694,254.9753,6.2629,5.5397,0.0248,0.9743,0.0049,12.5637,0.0019,0.0607,0.5882,False
Masitinib (AB-1010),158,204.6710,204.0938,15.9668,5.3184,0.0783,0.9922,0.5519,2.4008,0.3011,0.0398,0.9553,True
Metformin,43,203.0037,204.5355,12.6042,5.3113,0.0626,0.9692,0.2969,0.9618,0.6182,0.1132,0.6006,True
Midostaurin,172,204.7636,204.9321,17.9897,5.3180,0.0888,0.9870,0.1116,3.8562,0.1454,0.0719,0.3203,True
Motesanib (AMG-706),155,237.9402,239.3439,18.9914,5.4688,0.0814,0.9411,0.0000,18.7673,0.0001,0.1011,0.0784,False
NVP-ADW742,157,219.3357,221.7713,12.8043,5.3888,0.0600,0.9360,0.0000,31.7402,0.0000,0.1266,0.0119,False
NVP-AEW541,44,218.4405,219.8277,12.0287,5.3850,0.0561,0.9573,0.1033,4.9608,0.0837,0.1576,0.2021,True
NVP-TAE684,158,197.9496,198.8322,19.4531,5.2831,0.1007,0.9799,0.0210,8.5952,0.0136,0.0702,0.3999,False
Neratinib (HKI-272),157,161.1085,159.0331,17.6050,5.0762,0.1080,0.9948,0.8554,0.9134,0.6334,0.0317,0.9961,True
Nilotinib,158,229.7061,229.9935,17.3440,5.4339,0.0761,0.9361,0.0000,101.6021,0.0000,0.1225,0.0159,False
Nutlin 3a,148,261.4208,261.2645,6.1770,5.5659,0.0237,0.9783,0.0190,5.1503,0.0761,0.0857,0.2149,False
OTX-015,157,143.1264,144.3280,19.3636,4.9542,0.1399,0.9655,0.0006,8.2503,0.0162,0.0710,0.3897,False
Olaparib,146,254.3569,255.2311,5.6502,5.5385,0.0224,0.9630,0.0006,15.1818,0.0005,0.0803,0.2875,False
PD173955,153,205.7358,208.1447,20.2067,5.3216,0.1018,0.9592,0.0002,14.5594,0.0007,0.0912,0.1477,False
PH-797804,45,215.8956,218.3579,12.4535,5.3731,0.0583,0.9711,0.3162,1.4773,0.4778,0.1039,0.6779,True
PHA-665752,155,219.8092,219.7394,14.4662,5.3906,0.0663,0.9920,0.5410,1.8882,0.3890,0.0529,0.7576,True
PHT-427,156,272.5656,273.4740,3.9291,5.6078,0.0145,0.9207,0.0000,33.1483,0.0000,0.1145,0.0309,False
PI-103,155,137.9918,134.0585,20.7067,4.9160,0.1503,0.9823,0.0441,8.1900,0.0167,0.0654,0.5008,False
PP242,161,138.7163,139.0895,19.7233,4.9222,0.1446,0.9833,0.0494,4.6821,0.0962,0.0524,0.7491,False
