feature,shap_score,embedding_score,shap_norm,embedding_norm,combined_score
LS_242,3.0898634338378907,0.1993378658829998,0.4961547486065865,1.0,0.7480773743032932
LS_17,4.188301506042481,0.1282227443045607,0.8122051892115385,0.643240656880538,0.7277229230460383
LS_90,3.695712699890137,0.1400689436343664,0.6704740227844168,0.702668837520041,0.6865714301522289
LS_61,4.164843368530273,0.1044315909500442,0.8054556464889117,0.5238888783217422,0.664672262405327
LS_200,3.9553417587280273,0.1110317936367457,0.7451763483100391,0.5569997543590665,0.6510880513345527
LS_8,3.246905746459961,0.1475050977402154,0.5413400834504624,0.7399733853469281,0.6406567343986953
LS_202,4.840985202789307,0.0557030150262651,1.0,0.2794348950920362,0.6397174475460181
LS_94,4.17215389251709,0.0817389589890569,0.8075590826184055,0.41004799199035974,0.6088035373043826
LS_131,3.247399158477783,0.1266977120627188,0.5414820514772256,0.6355901109943805,0.588536081235803
LS_233,3.5036255645751955,0.1084025474315498,0.6152053414749776,0.5438097586416238,0.5795075500583007
LS_34,2.2604497718811034,0.1678512617738523,0.2575099310802826,0.8420428742900763,0.5497764026851795
LS_58,3.611281433105469,0.0847311198379673,0.6461808562023698,0.4250586017632422,0.535619728982806
LS_98,2.9668506622314452,0.1178038228085144,0.4607606361390316,0.5909726229316279,0.5258666295353298
CDC42BPA_Expr,3.7958689880371095,0.0636524078330515,0.6992917047268097,0.3193141794552021,0.5093029420910059
LS_138,3.8952374839782715,0.0554103815569948,0.7278827174740502,0.27796685676271277,0.5029247871183815
LS_21,4.286481132507324,0.0323022800432593,0.8404541319492626,0.16204170703650356,0.501247919492883
LS_155,3.0685192489624025,0.1020983118257513,0.49001344742179365,0.5121836444808785,0.5010985459513361
LS_46,2.790837287902832,0.1132907842427555,0.4101168120431737,0.5683323090510272,0.4892245605471004
LS_151,2.5061246490478517,0.1293613076609468,0.3281972598782381,0.6489524254342368,0.48857484265623746
CEACAM6_Expr,3.45681116104126,0.0745854155038876,0.6017355672219211,0.3741612014161415,0.4879483843190313
LS_166,3.0590898895263674,0.0808762730419575,0.48730036483680994,0.4057202025557863,0.4465102836962981
LS_125,2.9432887649536132,0.0820579716989752,0.45398123891620806,0.4116483656142968,0.43281480226525243
LS_92,3.0244331550598145,0.0759645304838647,0.47732868188512617,0.38107973215084834,0.4292042070179872
LS_127,3.0490605545043947,0.0731032308092213,0.4844146529948057,0.36672560647776226,0.42557012973628394
CSPG4_Expr,3.290620861053467,0.0578598055225495,0.5539181081730069,0.2902547480800117,0.4220864281265093
LS_216,3.4018701934814453,0.050844697359079,0.5859275599760583,0.25506243841699217,0.4204949991965252
LS_1,3.026960792541504,0.062665295415593,0.4780559517786161,0.3143621865481925,0.39620906916340426
LS_76,3.358249111175537,0.0363096392062054,0.573376590894317,0.18214520669851997,0.3777608987964185
LS_253,3.052970428466797,0.0507019917239995,0.4855396298321861,0.25434653485808095,0.3699430823451335
LS_243,3.638698043823242,0.0155562279236558,0.6540693590834251,0.07803270274274826,0.36605103091308666
IGSF10_Expr,3.4596604919433593,0.0195313219960331,0.6025553970419403,0.09797433988858635,0.35026486846526333
LS_214,2.8656805038452147,0.0497701619487442,0.43165123621640633,0.24967187536034588,0.3406615557883761
DLK1_Expr,2.5631168556213377,0.0632694924945471,0.3445954642507863,0.31739322900749006,0.3309943466291382
M14,2.2154463958740234,0.0817708735317687,0.24456123859077208,0.41020809593226554,0.3273846672615188
PLEKHG4B_Expr,3.1822387886047365,0.0247770293198677,0.5227336448719944,0.12429019307860012,0.32351191897529724
LS_198,3.028639316558838,0.0323575886760125,0.47853890868685556,0.16231917083114958,0.32042903975900255
IGKV2-23_Expr,2.350284194946289,0.0659539734904057,0.2833577323443628,0.33086031807999977,0.3071090252121813
DEFA4_Expr,2.5184166336059572,0.0526803454063616,0.33173399739107895,0.26427123363538657,0.29800261551323276
CEACAM8_Expr,2.2139527893066404,0.0701384640824375,0.2441314874508062,0.35185242329993155,0.2979919553753689
LTF_Expr,2.1759534454345704,0.0677531858203866,0.23319804506805716,0.3398863282270601,0.28654218664755865
MLLT3_Expr,2.296869888305664,0.058991370313431,0.267988986872444,0.29593140731269996,0.281960197092572
LRP1B_Expr,2.952694282531738,0.0206204290119566,0.45668746155169804,0.10343800352247469,0.28006273253708636
RP11-388P9.2_Expr,2.579170265197754,0.0403104216190153,0.34921446581147975,0.20221571313762723,0.2757150894745535
CYYR1_Expr,2.193323516845703,0.0620220942390899,0.23819588596755345,0.3111354743647673,0.2746656801661604
MMP8_Expr,2.1693012619018557,0.0626067465439066,0.23128403135194492,0.3140684676240086,0.27267624948797675
HMGA2_Expr,2.0957121658325195,0.0649670708052184,0.21011045149800306,0.3259093773254106,0.26800991441170685
cDC-like,2.985592803955078,0.0119882852094266,0.4661532588999544,0.06013359955957658,0.26314342922976547
FGD5_Expr,1.7963263702392578,0.0801586391392184,0.12396903396846679,0.4021200877833034,0.26304456087588507
MAFB_Expr,2.7605281829833985,0.0248163221477186,0.40139606008953554,0.12448731126025057,0.26294168567489307
HOXB3_Expr,2.773235206604004,0.022301851232734,0.4050522156031636,0.11187310246735058,0.2584626590352571
AC016735.1_Expr,3.087223472595215,0.0028962481153324,0.4953951601190415,0.014522074059629254,0.25495861708933537
HOXA11-AS_Expr,2.300484313964844,0.0472904052981669,0.26902895521569786,0.2372318157201428,0.2531303854679203
CRISP3_Expr,2.0662120246887206,0.0604966527370653,0.2016224603746679,0.3034828753654223,0.2525526678700451
IRX5_Expr,2.184683303833008,0.0536871807931397,0.2357098622228536,0.2693221696844826,0.25251601595366807
LGALS2_Expr,2.887315673828125,0.0126694825068333,0.43787626171278066,0.06355092480579043,0.25071359325928555
AUC__Proliferation,2.691218223571777,0.0237975406877043,0.3814537039707335,0.11937644599854814,0.25041507498464083
HOXA11_Expr,2.2301198959350588,0.0502389725617912,0.24878320273864554,0.2520237319366382,0.25040346733764185
ARHGEF10L_Expr,2.921689109802246,0.0093700558882822,0.44776643200059973,0.04699887164214885,0.24738265182137428
LS_35,2.9826102447509766,0.0058736980929326,0.46529509568216393,0.029458884608537256,0.24737699014535058
DNTT_Expr,2.9981367683410642,0.0016304553387177,0.4697624978470048,0.00817204062809909,0.23896726923755193
FGFR1_Expr,2.1351351356506347,0.0495590416722647,0.22145350969696392,0.24861275980961242,0.2350331347532882
M3,1.8810283851623535,0.0639425269591819,0.14834010213696483,0.3207696042167349,0.23455485317684988
DEFA1B_Expr,2.0668743896484374,0.0520671055247949,0.20181304074752374,0.26119482664252097,0.23150393369502237
Monocyte-like,2.140908889770508,0.0476144352019688,0.22311477543392821,0.23885735882638529,0.23098606713015674
DDIT4L_Expr,1.9977725791931151,0.0557698454027071,0.18193057473178212,0.27977015938844285,0.23085036706011247
DSG2_Expr,2.2517731285095213,0.0402459261916759,0.25501342533275617,0.20189216245275024,0.2284527938927532
LS_30,2.6128327560424807,0.0189090299614675,0.35890007789335454,0.09485252145458109,0.22687629967396783
GPHN_Expr,2.8861348533630373,0.0029951074323899,0.4375365076222134,0.015018016191652061,0.22627726190693273
LIFR_Expr,2.9041643714904786,0.0003065331639806,0.4427240892367475,0.0015303926224842425,0.22212724092961586
TNC_Expr,2.6523588943481444,0.013971070056294,0.37027282046576476,0.07008052791763905,0.2201766741917019
M11,1.7867386054992676,0.0628932983322,0.12121037387904653,0.3155059963168127,0.21835818509792962
AR_Expr,2.5918838500976564,0.0163179236739966,0.3528725091832086,0.08185386017758076,0.21736318468039467
GJA1_Expr,2.129811935424805,0.042556046124116,0.219921880541553,0.21348121484177657,0.21670154769166478
DEFA1_Expr,1.9489372444152833,0.0512239212062951,0.16787932371983671,0.2569648699621429,0.2124220968409898
AKT3_Expr,2.036323299407959,0.0447304538504831,0.1930226630505038,0.2243894472249129,0.20870605513770835
IRX3_Expr,1.998225917816162,0.0461349544532336,0.18206101255543627,0.23143532862575514,0.2067481705905957
ZNF521_Expr,2.462694683074951,0.018442818604308,0.3157012801516389,0.09251370442321875,0.20410749228742883
TRH_Expr,2.343456573486328,0.0250518207093103,0.2813932403758955,0.12566872402133775,0.20353098219861665
