UID	AML017	AML030	AML044	AML056	AML059	AML060	AML061	AML067	AML068	AML069	AML070	AML076	AML063	AML074	AML077	AML078	AML083	AML086	AML012	AML039	AML052	AML055	AML062Ph	AML071	AML010	AML013	AML051	AML079	AML098	AML099
AKT3	3.57005741164753	3.87402817280737	3.78908390025138	4.71408349490227	4.0399215211354	4.87878632207791	4.4942895760125	4.25593296004601	4.05014017454634	3.53579919405917	4.12873914232308	4.09150164716636	3.75193120085949	3.53579919405917	3.70046307024483	4.1480173058175	3.90499912301024	4.40252696284741	4.06978711426267	4.6438826589586	4.61643859723195	4.87878632207791	4.27571633937564	3.77622931973208	4.15158912765139	4.24002518661827	3.99623831260348	4.86417090180828	4.55156130821799	4.12085570934037
ABI1	8.15516562566504	8.22274729757887	8.09017569735573	8.04750384565537	8.03927615235	8.03696808087363	8.00092895670032	7.77551970857135	8.05244552436633	7.93810498244507	7.74236244837493	7.77746166107682	8.089446998923	8.02190732378984	8.03710732079232	7.85528630698852	7.91009689598941	7.78589416198831	7.97711092225429	8.22274729757887	7.71706041052133	8.04989927652641	7.80654541506894	7.86561755739783	8.15204210936303	8.22073626656951	7.95545937335278	7.71706041052133	8.14710822943359	7.97971993704888
SH2B3	8.14195195362697	8.34910792171409	7.42751195823409	7.17137559237171	7.72058261687051	8.64193385185617	8.27090229934649	8.22719145942223	7.67075470382567	8.24715594588412	8.45580297900213	7.43317767796595	8.64193385185617	7.66972449588717	7.7076403463951	8.15866821682275	8.30041523846248	7.63755028465414	8.46404776247749	8.49370957725714	7.9687607887755	7.17137559237171	7.76289788168624	7.28567291897322	7.54852188456096	7.38783987937155	7.43004324265594	7.64462809826935	8.25726326065329	8.37774341894351
CDH11	2.06805514336851	3.75520628792068	3.61265197758996	3.40578149185059	1.67861314934062	2.16747123822389	1.96934814631613	2.91521457959231	3.46240756071926	3.14318536986342	4.00334102786923	2.05044948792515	2.75356248017869	3.85371113828123	1.67861314934062	2.87562075959683	3.20815139951046	4.03472033365018	2.81032158977559	3.57745479963085	2.12027534119648	3.80993869228132	3.99023008322521	1.93092607149902	3.26793317013824	2.52750165359585	2.16401577349133	4.03472033365018	3.3847911145165	2.00733887064684
AKAP9	7.76085651307262	7.16803345420114	7.80880842062906	8.01800437980115	7.63139190073838	7.43364370872238	7.76327057530596	7.56509228592147	7.8335552559172	7.66091556363639	7.31525276528059	7.66313801671434	7.23713399445427	7.51875089131682	7.94538486075501	7.49577912534687	7.47142498699311	7.68978031153071	7.16803345420114	7.21868877124374	7.53996711645934	7.64320601325855	7.41248369397904	8.01800437980115	7.95255333130122	7.97732358017663	7.59335661457284	7.26953356601355	7.9221506232054	7.72761887843004
CDK4	7.67605979436825	7.39807842993448	7.48897022015437	7.6518514624884	8.15674998269629	7.10248697281608	7.9832131545564	8.2303531105172	7.78333095719719	7.90181039462563	7.89232917955835	7.45053083815164	7.76940909823607	8.19516491518618	7.7955420009925	8.17479430966966	8.10225924041092	7.85505898097822	7.10248697281608	7.68555541824661	8.01429567024746	7.66533290757672	7.4608041929707	7.65072235196567	7.8975137029104	7.8160725445725	8.2303531105172	7.48689441578011	7.21614508392185	7.72015434029989
OLIG2	2.44242276867371	2.7689703123668	2.24257760737426	2.03252330177208	3.22945099905967	4.40902371932958	3.35207494993744	3.68127443856174	3.58893454882994	3.11637678200293	3.44619567132841	3.40845239494057	3.92394627368902	3.47652360791208	2.67269816905218	2.1873625537042	3.00083802648067	2.16135233186508	3.56020879982695	3.26028621226007	2.03252330177208	3.7585841266015	4.13914831083363	3.52401271464938	2.25857025701638	2.62043873324098	2.36923337672284	4.40902371932958	3.24751987572528	3.47392501981389
CDK6	6.31544156090149	5.31215986888627	6.92518169470994	6.76716314394843	6.42149820323123	5.35311514395995	6.65896186895165	7.0159547073943	6.72178817754653	6.36105964069895	5.22502840547412	6.94814558627097	5.24924893639973	6.94928035778806	6.74552800848691	6.29607239791712	6.13827180469067	6.78299108799809	5.22502840547412	5.769744664376	6.76146567104048	6.90996230156943	5.82967722474608	6.8928033290303	7.10780368481205	7.10780368481205	6.64253373647442	5.986383119995	6.18138159268492	5.92076714903994
GPHN	5.1661322145689	2.67285831376141	4.56353651173418	3.29618266457454	5.10637548160718	5.34867744839323	5.44948041744328	5.17329516257346	5.0256733679308	3.88949172182486	4.86459512443889	4.9951651469442	2.67285831376141	3.9686305865408	4.44247604203627	5.43080666974168	5.05155481173782	4.72236581079244	4.75528299229562	4.63228497757484	4.53812488551497	5.21710949414482	5.39584425476771	5.18051528401937	4.8536434839981	4.94160169159212	4.95546295376932	5.44948041744328	3.7253991729695	4.58540216084442
CDKN1A	7.78028740348357	8.1714690875403	6.2623860342949	5.42786191248507	7.37204220183605	8.07977648479742	6.9706579483909	6.99577503133242	5.96515786562021	7.06498690836922	6.10593760994862	6.473611287581	8.10904318745378	5.42786191248507	6.64832349549118	7.11148400256917	7.10126764764769	7.18035570773862	7.41285636525418	8.1714690875403	7.57939827932203	6.6938315553718	7.66878275877676	6.44539281795149	5.67845572107885	5.4336681354265	6.43917862237815	7.90171771076771	6.81572925755036	7.69589761587599
