Tsne1;Tsne2;sample_id
-33.8537394719437;-61.8925941005824;AML017
-30.6997807306446;-89.1158833915664;AML030
-2.236716880503;2.326714265023;AML044
31.7333220554468;70.5824195840501;AML056
15.6159936963049;18.069397620112;AML059
-34.4667241043415;-30.154262454724;AML060
37.1408110849807;42.5883907016552;AML061
44.9560020202544;-7.14896353588184;AML067
-1.02806278249866;57.4525579895697;AML068
-20.9794950065585;-69.8015789268297;AML069
-16.6991551423685;38.6741646654606;AML070
52.9937924079058;23.3771217325233;AML076
-42.9869312446004;-72.6171541338548;AML063
33.0100074771147;16.9956146831342;AML074
-13.8473269559115;-19.9510502099121;AML077
-3.92688684981189;-71.4629375454297;AML078
-10.0017025280441;-61.4659934456246;AML083
-3.45786471915699;66.1864450006103;AML086
-46.3016532153661;-45.6350958739376;AML012
-12.1475701514853;-42.1475790771374;AML039
47.0947285205038;50.8638276294862;AML052
23.0604239330207;52.7598849614689;AML055
-29.0440279830244;56.7624798585857;AML062
5.15340064485081;41.8220789532298;AML071
24.0152202548729;29.2711685474279;AML010
21.8340591643839;37.4964390330332;AML013
35.6459661698585;-11.2907087462357;AML051
-26.831430066588;66.3310868475667;AML079
-20.9613566822462;-29.5666244156333;AML098
-22.7833029144045;-59.3093662155874;AML099
