Metadata	Feature_Name
Drug_Patient	AUC_IPAEstrogenDependentBreastCancerSignaling
Drug_Patient	AUC_IPATNFR1Signaling
Drug_Patient	AUC_IPAErbB2ErbB3Signaling
Drug_Patient	AUC_IPAUVCInducedMAPKSignaling
Drug_Patient	AUC_IPAUVAInducedMAPKSignaling
Drug_Patient	AUC_IPAUVBInducedMAPKSignaling
Drug_Patient	AUC_IPAERK5Signaling
Drug_Patient	AUC_IPAMismatchRepairinEukaryotes
Drug_Patient	AUC_IPATelomereExtensionbyTelomerase
Drug_Patient	AUC_TBIBarriergenes
Drug_Patient	AUC_TBIMAPKupgenes
Drug_Patient	AUC_TBIPhopholipase
Drug_Patient	AUC_LMProliferation
Drug_Patient	AUC_TPWPI3KgammaSignature
Drug_Patient	AUC_TPWNOS1Signature
Drug_Patient	AUC_TPWSHC1pSTAT3Signature
Drug_Patient	AUC_TPWHypoxiaAdenosineImmuneCellSuppression
Drug_Patient	AUC_TPWImmunogenicCellDeathICD
Patient	LASP1
Patient	HOXA11
Patient	CREBBP_x
Patient	ETV1
Patient	GAS7
Patient	CD79B
Patient	BTK
Patient	BRCA1
Patient	WAS
Patient	WWTR1
Patient	CD74
Patient	BIRC3
Patient	FAS
Patient	BCLAF1
Patient	ANK1
Patient	RABEP1
Patient	ZCCHC8
Patient	CUL3
Patient	FLT4
Patient	CDH1
Patient	TNC
Patient	CTNNA1
Patient	PREX2
Patient	TPR
Patient	GOPC
Patient	TNFRSF17
Patient	SNX29
Patient	ELN
Patient	ARID1B_x
Patient	HERPUD1
Patient	POLQ_x
Patient	PIK3CB
Patient	THRAP3
Patient	KMT2C
Patient	PRDM1
Patient	POLD1
Patient	CASP8
Patient	PMS1
Patient	NTHL1
Patient	ERBB3
Patient	SPEN
Patient	MAP2K4
Patient	SMARCD1
Patient	GOLGA5
Patient	FGFR2
Patient	KLF6
Patient	RHOA
Patient	CBFB
Patient	FGFR3
Patient	TFE3
Patient	BCL3
Patient	CLTCL1_x
Patient	FSTL3
Patient	PABPC1
Patient	TCF3
Patient	PRKACA
Patient	TFRC
Patient	AFF4
Patient	SMC1A_x
Patient	FCGR2B
Patient	TP63
Patient	SDHA
Patient	SMARCE1
Patient	KDM5A
Patient	IGF2BP2
Patient	MAP3K13
Patient	PICALM
Patient	EED_x
Patient	ARHGEF10L_x
Patient	MLH1
Patient	NT5C2
Patient	NFKB2
Patient	FGFR1
Patient	ARAF
Patient	N4BP2
Patient	HOXA9
Patient	MLLT10
Patient	PCM1
Patient	CIC
Patient	DNM2
Patient	KEAP1
Patient	HSP90AA1
Patient	PTPRC
Patient	ERC1
Patient	XPO1
Patient	PALB2
Patient	KAT6A
Patient	CYLD
Patient	FAT1
Patient	NCOA1
Patient	BCORL1_x
Patient	ATRX
Patient	MECOM
Patient	EPS15
Patient	BAX
Patient	GNAS_x
Patient	CNOT3
Patient	GNA11
Patient	FUS
Patient	CD209
Patient	FH
Patient	ESR1
Patient	EZR
Patient	MSH2_x
Patient	MAP3K1
Patient	HSP90AB1
Patient	JAK2_x
Patient	ABL1
Patient	LZTR1
Patient	SMARCB1
Patient	MAPK1
Patient	PATZ1
Patient	PDGFB
Patient	MYH9
Patient	EP300_x
Patient	NIN
Patient	HIF1A
Patient	DICER1
Patient	TCL1A
Patient	CCNB1IP1
Patient	TRIP11
Patient	ARHGAP5
Patient	NFATC2
Patient	SALL4_x
Patient	PTK6
Patient	CRNKL1
Patient	STAG2_x
Patient	ELF4
Patient	GATA1
Patient	CTCF_x
Patient	AXIN1
Patient	TSC2
Patient	IL21R
Patient	NBN
Patient	IKBKB
Patient	EIF3E
Patient	NDRG1
Patient	UBR5_x
Patient	LEPROTL1
Patient	ARHGEF10_x
Patient	ERCC2
Patient	LYL1
Patient	CCNE1
Patient	AKT2
Patient	CD79A
Patient	PPP2R1A
Patient	TFPT
Patient	JAK3_x
Patient	ELL
Patient	CRTC1
Patient	CDK6
Patient	MET
Patient	HOXA13
Patient	EZH2_x
Patient	SFRP4
Patient	GATA3
Patient	BMPR1A
Patient	CPEB3
Patient	SUFU
Patient	LARP4B
Patient	CCDC6
Patient	MLLT6
Patient	RNF43
Patient	DDX5
Patient	COL1A1
Patient	HLF
Patient	PRKAR1A
Patient	YWHAE
Patient	CHIC2
Patient	FBXW7
Patient	ZBTB16
Patient	CCND1
Patient	DDX6
Patient	CBL_x
Patient	CARS
Patient	NUP98_x
Patient	POU2AF1
Patient	PPFIBP1
Patient	PRPF40B
Patient	BCL7A
Patient	GLI1
Patient	SH2B3
Patient	ALDH2
Patient	CDKN1B
Patient	CHD4
Patient	PTPN6
Patient	FANCE
Patient	SRSF3
Patient	CCNC
Patient	QKI
Patient	TFEB
Patient	CCND3_x
Patient	ITK
Patient	DROSHA
