CID,MolecularWeight,CanonicalSMILES,InChIKey,XLogP,Name,Targets
11409972,529.6,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F,ODPGGGTTYSGTGO-UHFFFAOYSA-N,3.8,AST-487,MAPK14;TYRO3;FLT3;RET;KDR;KIT;NTRK3;MAPK10;FLT1;JAK2;CAMKK2;RET;ROS1;ROCK2;ABL1;NTRK1;PRKACA;CLK2;MAP4K4;NTRK2;FGFR1;DAPK3;MELK;LTK;FLT3;LRRK2;FYN;FLT3;PDGFRB;KDR;CSF1R; MAP4K2;PDGFRA;CDK8;TAOK1;AURKA;CLK4;LCK 
16007391,507.6,CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO,QYZOGCMHVIGURT-UHFFFAOYSA-N,3,AZD1152-HQPA (AZD2811),AURKA;AURKB;BLK;BTK;CHEK2;CSNK1D;EGFR;EIF2S1;ERBB4;FLT1;FLT3;FLT4;KDR;LCK;LYN;MAP4K2;MAP4K4;MAP4K5;MST1R;PAK1;PDGFRA;PDGFRB;RET
3012,459.6,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=CC=C4)C5=CC=C(C=C5)F)CC3,MFVJXLPANKSLLD-UHFFFAOYSA-N,5.1,Alisertib (MLN8237),ABCB1;ABCC1;ABCG2;ABL1;AURKA;AURKB;BLK;BRSK1;BTK;CCNE1;CDK8;CLK4;CSNK2A1;CYP2C19;CYP2C9;CYP2C8;CYP2D6;CYP3A4;EGFR;EPHA2;ERBB2;ERBB4;FER;FGFR1;FGFR3;FLT1;FRK;GRK5;KDR;LCK;LIMK1;LRRK2;LTK;MYC;MYCN;NTRK1;NTRK2;NTRK3;PARP1;PDPK1;PIM3;PLK4;PRKACA;PTK2;RET;ROS1;RPS6KA3;SLK;SRC;SRPK1;TNK2;YES1
25062766,414.5,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC=C(C=C4)C(=O)NCC#N,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,2.6,CYT387,ACVR1;AKT1;APAF1;BAD;BAX;BCL2;CASP3;CCND1;EIF4E;EIF4EBP3;JAK1;JAK2;JAK3;MTOR;RPS6KB1;TYK2;YES1
60953,359.35,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,GAGWJHPBXLXJQN-UORFTKCHSA-N,0.6,Canertinib (CI-1033),AIFM1;AKT1;BMX;CCND1;CDK4;CXCL8;EGF;EGFR;ENDOG;ERBB2;ERBB4;MAPK1;MAPK3;MTOR;RB1;TGFB1;VEGFA;YES1
156422,527.7,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,MVCOAUNKQVWQHZ-UHFFFAOYSA-N,5.7,Doramapimod (BIRB 796),ABCC2;ACTG2;ADH7;AHSG;AK5;APOA4;AKR1B7;C1QA;C1QB;CAR3;CASP3;CD5L;CD74;CDK8;CEACAM1;CES3;CLEC1B;CTSS;CXCL1;CXCL10;CXCL8;CXCR1;CXCR2;CYP2A4;CYP2A5;CYSS;EGFR;EGR1;FCGR2B; FLT1;FLT4;G6PC;GCLC;GPX2;GRM8;GSK3B;GSTA1;GSTA2;GSTM2;GSTM3;H2AB1;HCK;HP;HPD;ICAM1;IL1B;KCNK1;KDR;LCK;LMOD1;LYN;MAP4K4;MAPK10;MAPK11;MAPK12;MAPK13;MAPK14;MAPK9;MEIG1; MT1;MYBPC1;MYH11;MYH3;NQO1;NTRK2;NTRK3;PDGFRB;PRKD2;SRC;TNF;TYRO3;YES1
3122,225.18,C(CCC(C(=O)O)N)CCP(=O)(O)O,MYDMWESTDPJANS-UHFFFAOYSA-N,-3.6,Dovitinib (CHIR-258),NR1I2
5287969,401.8,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,BIIVYFLTOXDAOV-YVEFUNNKSA-N,3.3,Flavopiridol,PYGB;PYGL;PYGM;CDK7;CDK5;CDK9;CDK1;CDK6;EGFR;CDK4;CDK8;CDK2
16723044,510.7,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=CC(=C3)CN4CCOCC4,OOSKXASFJFSOBK-UHFFFAOYSA-N,3.7,GDC-0941,PIK3CA;AKT1;AKT2;AKT3;MTOR;PTEN;IRS1;IRS2;PDK1;SGK1
11617559,366.4,COC1=CC=C(C=C1)COC2=C(C=C(C=C2)CC3=CN=C(N=C3N)N)OC,MYQAUKPBNJWPIE-UHFFFAOYSA-N,2.6,GW-2580,CSF1R;NTRK1;NTRK2;NTRK3
