355	MRE11A
356	PLEKHB1
357	SERPINB1
358	SLC7A9
359	SPAST
360	NRXN3
361	OSBPL5
362	AQR
363	CPS1
364	FHL1
365	RTFDC1
366	NLRP2
367	SLC45A4
368	RNF10
369	ZNF839
370	ZDHHC6
371	GRAMD1B
372	RNH1
373	NDUFS1
374	RB1CC1
375	ERP44
376	ALAS1
377	BIRC3
378	AKAP11
379	GLRX2
380	SNAPC1
381	DERA
382	STRAP
383	ABCC2
384	DEF6
385	PLEKHO1
386	GCLM
387	UBR2
388	EHD2
389	DEPDC1
390	CCDC28A
391	RRAGD
392	HSF2
393	PHF20
394	HSD17B6
395	NR1H3
396	TYMP
397	NCAPH2
398	TOMM34
399	SEC63
400	KPNA6
401	VIM
402	RTEL1-TNFRSF6B
403	FAS
404	RNASET2
405	CD44
406	KCNG1
407	AGPAT4
408	SLAMF7
409	BTN3A1
410	MIPEP
411	PRKCH
412	INSRR
413	IFNGR1
414	B4GALT7
415	SH2D2A
416	VRK2
417	TNFRSF1B
418	VEZT
419	POU2F2
420	BRD9
421	SNX1
422	TBPL1
423	ARNTL2
424	BCLAF1
425	SLC39A9
426	ANK1
427	TFB1M
428	RABEP1
429	HMGB3
430	NUP160
431	BAK1
432	IKZF2
433	GRN
434	FAM13B
435	ARHGAP31
436	CENPQ
437	SARS
438	RANBP3
439	ARID4A
440	TSSC1
441	PNPLA6
442	IFT88
443	ALG1
444	ZCCHC8
445	ABCF2
446	CHPF2
447	LRRC7
448	FUT8
449	UBA6
450	GAB2
451	ATP6V0A1
452	PIAS1
453	SLC4A7
454	APBA2
455	UHRF1
456	MAP2K3
457	EFCAB1
458	TMSB10
459	ASTE1
460	RNF19A
461	PEX3
462	GABARAPL2
463	SH3YL1
464	FAM136A
465	VCL
466	DEPDC1B
467	DAPK2
468	NSMAF
469	ADSS
470	STAP1
471	TIMP2
472	RFC1
473	TBC1D23
474	CUL3
475	MYOM2
476	CYP46A1
477	ZZZ3
478	SLC18A1
479	USP2
480	TUBG2
481	RPL26L1
482	FLT4
483	NSUN2
484	FBXO42
485	MFAP3
486	MRI1
487	METTL1
488	AGA
489	PI4K2B
490	BOD1L1
491	MAT2B
492	EDC4
493	TRIO
494	VCAN
495	CLEC16A
496	MSR1
497	CDH1
498	SKIV2L2
499	ZFYVE16
500	FAM65A
501	RAI14
502	PNKP
503	PHLPP2
504	SPDL1
505	STAU2
506	PQLC2
507	CTNS
508	RTN4R
509	PHF23
510	INPP4A
511	RAB27B
512	PSMA4
513	MYO16
514	LSG1
515	PARP3
516	TNC
517	THAP3
518	FAM65C
519	TDP1
520	AIFM2
521	SPATA7
522	MED17
523	RETSAT
524	CAPG
525	AP2S1
526	TG
527	ADAM28
528	DCUN1D1
529	JADE2
530	LCP2
531	TRIT1
532	ADRB1
533	CUL7
534	CTNNA1
535	PHKA2
536	CNTLN
537	HSPA5
538	DSG2
539	GEMIN8
540	OFD1
541	GPM6B
542	PREX2
543	WDR37
544	YTHDC2
545	CTPS2
546	ATP6V1H
547	POLR2B
548	FAM214A
549	ARAP2
550	TPR
551	CP
552	KIAA0556
553	DTNBP1
554	XK
555	ANO2
556	C12orf4
557	SCML1
558	WWC3
559	ARHGAP6
560	FAM184B
561	MAP4
562	GOPC
563	USP28
564	HDAC9
565	TSPAN17
566	NOP16
567	CC2D2A
568	RRM2B
569	ZNF800
570	TNFRSF17
571	SNX29
572	MRPS10
573	RSF1
574	VPS13D
575	CELF2
576	FAM120A
577	R3HDM1
578	COL9A2
579	KITLG
580	ERCC8
581	ADAMTS6
582	H6PD
583	VAMP3
584	PER3
585	UTS2
586	TNFRSF9
587	EPN3
588	LTBP1
589	RCN1
590	ELN
591	RFC2
592	ARID1B
593	CLPTM1L
594	NEDD4L
595	FOXP3
596	PPP1R3F
597	HEXB
598	PTCD2
599	KIAA2022
600	JKAMP
601	DKK3
602	ARHGEF5
603	NFE2L3
604	MCUR1
605	LIMA1
606	LETMD1
607	SLC4A8
608	LAMC3
609	PTGER3
610	TNIP3
611	MAPK9
612	COL23A1
613	BCAR1
614	FAM160A2
615	HERPUD1
616	HOMER3
617	RAD51
618	POLQ
619	PIK3CB
620	CYBA
621	THOC3
622	HEBP2
623	MPHOSPH9
624	PLEKHA5
625	PRSS8
626	SIKE1
627	RRP12
628	FNIP2
629	MSMO1
630	TTC17
631	FSTL4
632	FOXN3
633	METTL24
634	AKR7A2
635	MRTO4
636	NNAT
637	USE1
638	MCF2L2
639	LAMA3
640	AP5M1
641	ANAPC4
642	KCNQ1
643	TRAPPC3
644	THRAP3
645	PHPT1
646	ENTPD2
647	LY75
648	ARID4B
649	OPN3
650	SDCCAG8
651	PTPRN
652	HHAT
653	KIF1B
654	FOXC1
655	TBC1D22A
656	SYNE2
657	PLEKHH1
658	ATP9A
659	FAM168A
660	RELT
661	GALC
662	NOP58
663	SZRD1
664	KCNH2
665	CUL1
666	FAM114A2
667	CYFIP2
668	TAB2
669	GINM1
670	EIF2AK2
671	USP36
672	KMT2C
673	MCOLN3
674	PUM2
675	MRPL43
676	ITIH4
677	ITIH1
678	C4orf27
679	ZFR
680	ZNF280C
681	TRAF1
682	RC3H2
683	PCGF2
684	IL17RB
685	TRAF3IP2
686	GYG2
687	DCBLD2
688	SOAT1
689	PKP2
690	MSH4
691	F7
692	GDI2
693	PRDM1
694	ATG5
695	TMCC3
696	PITHD1
697	MTA3
698	USP13
699	ATP11B
700	LAMC2
701	CDK14
702	SEC61A1
703	PPP1R12A
704	RASGRF1
705	CAMK2B
706	CROCC
707	POLR3E
708	ATP2B4
709	ZC3H11A
710	RIOK2
711	YIPF1
712	NDC1
713	DGKG
714	FLYWCH1
715	UNKL
716	TBXAS1
717	PARP12
718	ALDH18A1
719	TARBP1
720	PET112
721	MXD1
722	CDK17
723	DNAJC25
724	SLC2A3
725	PSD
726	CTDP1
727	YBX3
728	STYK1
729	WNK1
730	CCAR1
731	OGFR
732	GNA15
733	CREB3L3
734	PIGV
735	PTPRU
736	SNRNP40
737	RIMBP2
738	QSER1
739	MPC1
740	ACAA1
741	BCAT1
742	HDAC7
743	LZTS1
744	SPAG4
745	NCKAP1
746	MRPS35
747	GUCY1B3
748	SFSWAP
749	TNK2
750	MON2
751	CDH3
752	GPBP1
753	DGAT2
754	ZNF112
755	CS
756	LTK
757	MRPS24
758	ELMO2
759	WAPAL
760	VMP1
761	APPBP2
762	POLD1
763	SEZ6
764	EIF4B
765	SLC6A16
766	GLTSCR1
767	SPHK2
768	RPL18
769	CA11
770	ISOC2
771	U2AF2
772	EPN1
773	MED29
774	AHRR
775	ZNF275
776	MTMR1
777	GPC1
778	ADCK1
779	HAGH
780	RNF4
781	CASP8
782	LIMCH1
783	ASUN
784	TM7SF3
785	SPA17
786	TSPAN32
787	ST3GAL6
788	ATP2C2
789	NGFR
790	CDON
791	TAF2
792	HIPK2
793	TNPO3
794	RFXANK
795	TMEM161A
796	LPAR2
797	CTSA
798	SUGP2
799	SLC12A2
800	SNX24
801	CNN2
802	ABCA7
803	SNCAIP
804	DDX20
805	BTBD1
806	FAR2
807	BCAS1
808	CHI3L2
809	SBNO2
810	PMS1
811	HMG20B
812	CALCRL
813	TAF11
814	ANKS1A
815	AP3D1
816	ZNF76
817	SLC9A3R2
818	NTHL1
819	UHRF1BP1
820	GNAI3
821	IPO5
822	OAT
823	WDR3
824	PKN2
825	WDR18
826	TRAM2
827	NTN1
828	MCM10
829	DGKA
830	ERBB3
831	ANKRD44
832	KARS
833	ADAT1
834	PDIA5
835	TBC1D22B
836	NDUFB4
837	SPEN
838	MYLK
839	ZC3H15
840	MAP2K4
841	TMEM206
842	SLK
843	CYB5R4
844	COL17A1
845	GSTO2
846	SEC61A2
847	PRKCQ
848	TLE2
849	ASB1
850	FAM107B
851	ME1
852	TBC1D1
853	CDK13
854	MTHFD2
855	SLC9A7
856	FOXJ2
857	YBX1
858	PDE4A
859	PPP2R5A
860	ELAVL1
861	TIE1
862	DIP2B
863	SMARCD1
864	KDM4A
865	NFYC
866	ZMYND12
867	SLC9A3
868	NGEF
869	ASPM
870	CD84
871	ELOVL1
872	SPI1
873	ZNRD1
874	MPPED2
875	ZBTB11
876	ATXN3
877	GOLGA5
878	FGFR2
879	LRRC40
880	ISOC1
881	TRMT11
882	THUMPD1
