Column_Label,Type
CID,Drug_PC
MolecularWeight,Drug_PC
SMILES,Drug_PC
InChIKey,Drug_PC
XLogP,Drug_PC
inhibitor,Drug_PC
MaxAbsEStateIndex,Drug_PC
MinAbsEStateIndex,Drug_PC
MinEStateIndex,Drug_PC
qed,Drug_PC
SPS,Drug_PC
MolWt,Drug_PC
FpDensityMorgan1,Drug_PC
AvgIpc,Drug_PC
BalabanJ,Drug_PC
Ipc,Drug_PC
Kappa2,Drug_PC
PEOE_VSA1,Drug_PC
PEOE_VSA10,Drug_PC
PEOE_VSA11,Drug_PC
PEOE_VSA12,Drug_PC
PEOE_VSA13,Drug_PC
PEOE_VSA14,Drug_PC
PEOE_VSA2,Drug_PC
PEOE_VSA3,Drug_PC
PEOE_VSA4,Drug_PC
PEOE_VSA5,Drug_PC
PEOE_VSA6,Drug_PC
PEOE_VSA7,Drug_PC
PEOE_VSA8,Drug_PC
PEOE_VSA9,Drug_PC
SMR_VSA1,Drug_PC
SMR_VSA10,Drug_PC
SMR_VSA2,Drug_PC
SMR_VSA3,Drug_PC
SMR_VSA4,Drug_PC
SMR_VSA5,Drug_PC
SMR_VSA6,Drug_PC
SMR_VSA7,Drug_PC
SMR_VSA9,Drug_PC
SlogP_VSA1,Drug_PC
SlogP_VSA10,Drug_PC
SlogP_VSA11,Drug_PC
SlogP_VSA12,Drug_PC
SlogP_VSA2,Drug_PC
SlogP_VSA3,Drug_PC
SlogP_VSA4,Drug_PC
SlogP_VSA5,Drug_PC
SlogP_VSA7,Drug_PC
SlogP_VSA8,Drug_PC
TPSA,Drug_PC
EState_VSA1,Drug_PC
EState_VSA10,Drug_PC
EState_VSA11,Drug_PC
EState_VSA2,Drug_PC
EState_VSA3,Drug_PC
EState_VSA4,Drug_PC
EState_VSA5,Drug_PC
EState_VSA6,Drug_PC
EState_VSA7,Drug_PC
EState_VSA8,Drug_PC
EState_VSA9,Drug_PC
VSA_EState1,Drug_PC
VSA_EState10,Drug_PC
VSA_EState2,Drug_PC
