Drug,Mean_Predicted_AUC,SD_Predicted_AUC
Elesclomol,55.9965972818792,22.021934354756386
SNS-032 (BMS-387032),100.41065885625,15.546404893474172
Panobinostat,105.32227825999999,37.601956935318945
AKT Inhibitor IV,119.40883,
Selinexor,122.92169468152865,9.90328192917743
Foretinib (XL880),126.25226576100629,25.415501275438253
INK-128,129.9371544375,20.061034914310195
Flavopiridol,132.074920987013,24.704859348744186
AT7519,136.02951381410256,13.38424965208016
Trametinib (GSK1120212),138.52657076136364,30.77718630024036
PI-103,139.50259312903228,19.897505940786615
PP242,139.71887257763976,19.189481747117313
OTX-015,143.14502325477707,18.253936574992974
JQ1,143.8088265448718,17.773897927407052
A-674563,144.49749094409938,15.499219702097243
Quizartinib (AC220),144.84065301257863,21.589494892921063
LY294002,144.91871,2.4198749687122136
JNJ-28312141,149.23016217857142,29.943268194255538
Venetoclax,149.50266012209303,53.20666111243405
Dovitinib (CHIR-258),151.22987139622643,24.65170755313584
Gilteritinib,151.3181031419355,18.818219328251704
TG101348,153.45013333333333,13.738173650621588
GDC-0941,153.99429462499998,18.195310134958813
17-AAG (Tanespimycin),155.41686984713374,21.879068790895957
BEZ235,156.57553560509555,19.00514862538772
Pelitinib (EKB-569),157.85649015286623,18.438729946414487
BI-2536,158.8476375,9.723239719484354
Neratinib (HKI-272),159.85488929936307,16.616355216656004
Volasertib (BI-6727),162.18296044585986,8.299304328369121
Bortezomib (Velcade),164.095129,16.69845737638404
RAF265 (CHIR-265),165.46477143750002,14.251953250195731
Lestaurtinib (CEP-701),171.15537333333336,16.571036286075564
Afatinib (BIBW-2992),171.65350757763974,12.237912237106547
Tivozanib (AV-951),173.4987595192308,26.39951738655817
Cabozantinib,174.24678055900623,25.696546157681873
Dasatinib,174.64961570454545,29.54176866069791
JAK Inhibitor I,175.29932359477124,16.834059900514422
Rapamycin,175.65156594771244,28.0031926754985
Doramapimod (BIRB 796),177.57508352201256,21.47921435996763
Lenvatinib,177.7287768181818,19.416359336541753
CYT387,178.4928751572327,16.601552004726592
ABT-737,180.44285666666667,8.888020584957768
Go6976,183.27384,1.3508426526431692
Entrectinib,184.24005045751633,9.290773411777755
Sorafenib,188.36877067251461,23.954751634966374
Metformin,188.46857511627906,14.030690934256937
Regorafenib (BAY 73-4506),188.62077746835442,16.511037429493065
Idelalisib,190.90334657894735,15.45657668032398
CI-1040 (PD184352),193.87797160493827,15.317674708004182
Staurosporine,195.17745333333332,9.041417044453446
Axitinib (AG-013736),195.2502267721519,17.08017892669381
Sunitinib,195.64572994152047,19.861655226327894
KI20227,195.8434453982301,24.251489877763692
Crizotinib (PF-2341066),196.67356038961037,11.926682208780463
PRT062607,197.70104307692307,15.226592975575528
Entospletinib (GS-9973),197.7334462987013,16.353704138968006
VX-745,197.8491719496855,14.74433193981581
NVP-TAE684,198.2178983544304,18.95719249674619
Ralimetinib (LY2228820),199.5346292857143,10.20355240133013
SB-202190,200.403605,3.3602350638087874
Tandutinib (MLN518),200.74347,2.3886491332550324
Birinapant,201.8839876744186,11.646990917644795
Linifanib (ABT-869),202.93516196202532,22.32731638703524
JNK Inhibitor II,203.52772499999998,0.664319749856944
Midostaurin,203.97094889534884,17.85661726201194
Ranolazine,204.51787488888888,13.142918302063354
Selumetinib (AZD6244),204.69539231250002,34.18163209114379
Masitinib (AB-1010),204.73571487341772,15.725074941693524
SB-203580,205.063965,2.1039750142171276
AT-101,205.79907152941178,10.53858490604832
KW-2449,205.87671567741936,25.684424427246466
PD173955,206.70965790849672,18.883033874836652
XMD 8-87,206.89961333333332,10.534856839314
Bosutinib (SKI-606),207.8025572327044,14.548401766116019
MGCD-265,208.54912314465406,16.39414715739918
Crenolanib,209.88457666666667,18.057213232298324
Ibrutinib (PCI-32765),210.01783543859648,15.146382801330455
Perhexiline maleate,210.14682297297298,9.690571820517341
BMS-754807,211.19534609756099,9.516897804322554
LY-333531,211.24733260869564,14.114106100528488
Cytarabine,211.31429529032258,12.930877759989617
GW-2580,211.59873697368423,13.899205620772298
PH-797804,214.60309755555556,11.936084120898268
MK-2206,214.76162929032256,19.554496112457738
GSK-2879552,215.28970928571428,8.701727970442846
PP2,215.34851,6.678496269086323
Pazopanib (GW786034),216.1078885897436,15.098095108849591
BLZ945,216.31546444444444,11.597181346411206
GSK-1838705A,216.73505225,10.467153028003313
Etomoxir,216.77296090909093,10.450527825516835
Tozasertib (VX-680),217.4641685,13.22921657045672
Indisulam,217.6708529059829,9.128356734446738
NVP-AEW541,218.9014106818182,11.383503434309935
NVP-ADW742,219.41549006369425,12.22740759093388
Saracatinib (AZD0530),220.1962206289308,14.406202548299644
PHA-665752,220.2526661935484,14.418838358497434
AMPK Inhibitor,220.26973,6.849078708979769
SU11274,220.82515991150444,11.203013894862297
Tofacitinib (CP-690550),221.47569119496853,9.36512152534195
Canertinib (CI-1033),221.5110025625,11.551502976691053
AZD1152-HQPA (AZD2811),221.98583742138365,17.092487241653537
Erlotinib,223.9628967721519,12.129605663584933
Vatalanib (PTK787),225.4120666878981,10.578158350078846
p38 MAP Kinase Inhibitor,226.095135,4.308380404566184
Vandetanib (ZD6474),226.42829024539876,13.645645548438779
PLX-4720,228.73553333333334,9.503720771846861
Nilotinib,229.11056556962026,17.00495658836465
Lapatinib,229.16826260000002,9.513496649721784
AZD1480,229.74750775,9.92409168394129
S31-201,230.9342548245614,8.549059938354787
Imatinib,232.4911106779661,10.303925392475966
Ruxolitinib (INCB018424),232.50884444444443,7.961168867362076
BMS-345541,233.0445810625,5.912169053475105
