Tsne1;Tsne2;Sample_ID
7.06232479169978;3.44087813137728;AML_084_01
7.12323262109458;3.46070990427578;AML_084_03
-0.708578106811914;-8.10788052241964;AML_086_02
-6.07920009132755;-4.20163298915628;AML_019_01
3.09795422676976;6.54131599859962;AML_025_01
3.11745592200701;6.52831449655051;AML_025_03
1.03476216870387;3.54911275828497;AML_026_01
2.18971624618544;2.97792964190559;AML_029_01
1.44464963118888;3.16009000652766;AML_030_01
-0.0243304199847778;-7.83148513445201;AML_033_01
0.47841767123318;-7.33073313770832;AML_033_02
0.405781378740086;-7.98606545947349;AML_033_03
-0.621113758098888;1.64136392306066;AML_044_01
-3.4918330447565;-3.80409370765058;AML_052_01
2.41150763928332;2.07508097719582;AML_066_01
0.531954260000951;2.09943640121906;AML_070_01
1.71561239734206;1.70882231169106;AML_074_01
-3.57192172181205;1.02716809611694;AML_098_01
0.761077066167034;1.40244206842915;AML_100_01
6.05214435551483;0.866317901794015;AML_101_01
-6.20886349912475;5.07964030672894;AML_101_02
-2.91576585834131;5.2336721637314;AML_102_01
-4.82784849849692;1.27753807835582;AML_103_01
0.478879513157761;-5.52274555132977;AML_103_02
-0.375948500713612;5.36577541765065;AML_104_01
-1.29414917487944;6.36914313016586;AML_108_01
-1.66112792247939;7.86565755448685;AML_109_01
-1.02699240221968;6.58345117737809;AML_110_01
4.09335766091485;2.93523782647302;AML_111_01
-2.35198114220441;4.20097829975172;AML_112_01
-2.39036467307516;3.93921498634117;AML_112_02
-5.31083838031553;-0.0313162144057901;AML_113_01
-4.04260952076821;6.46859923250529;AML_114_01
-1.12078178281538;-0.306155736697575;AML_115_01
-2.72591479196761;8.26350826026347;AML_116_01
2.81008178520393;0.975172753973658;AML_117_01
2.98600208528247;1.63827942858642;AML_119_01
-2.51902519634627;-2.91512036567294;AML_121_01
-3.98704695168763;2.02158335780431;AML_122_01
0.276749823552269;2.08845967392924;AML_123_01
0.41144848092577;0.777435954935103;AML_124_01
0.95402621568546;-2.39668499908079;AML_125_01
1.80110139253897;3.67941488677865;AML_126_01
-3.20719876311929;0.260519293710717;AML_127_01
3.94481373531239;2.96339231968308;AML_128_01
-4.68590345901906;1.42305771097517;AML_131_01
-2.37699370934315;-6.2978741118734;AML_133_01
-4.80278850977817;-6.30442537080323;AML_134_01
2.85144337962346;-1.94187968873614;AML_135_01
5.62883497216186;4.27920329132805;AML_138_01
6.34594260445868;-2.21101352705891;AML_139_01
0.388571304248201;-0.31551089717919;AML_140_01
-3.64756246371661;-2.92671170253387;AML_141_01
-3.24332472271503;-3.28801820074196;AML_141_02
-2.46141507534848;-6.36117655924818;AML_142_01
-0.531639912677777;-2.45913063119685;AML_143_01
0.908678029812004;-0.919778676921217;AML_144_01
1.09203221865261;7.96454687799791;AML_146_01
-0.789382870359554;0.259382521225137;AML_147_01
3.24571997529866;5.05867495912044;AML_149_01
-3.61382478412697;1.78335388170322;AML_150_01
-2.95729191087761;-0.373606017224488;AML_151_01
-0.322722030444303;-3.63495018740974;AML_152_01
2.72628261160708;-3.89170142045084;AML_153_01
1.23187490038808;-3.33225743464343;AML_155_01
1.13139012909438;-1.56999911837398;AML_156_01
5.60136770371227;-2.69176177265001;AML_157_01
5.66345552756249;-2.68468135962811;AML_157_02
1.45701075926039;-0.393844228517825;AML_158_01
1.52594211162218;-0.421855032172219;AML_159_01
-0.6926857928913;-0.0417660303614986;AML_160_01
0.289823601517444;-4.70481223981521;AML_161_01
3.79979644241763;5.42587513459276;AML_001_01
0.54556973797412;4.41220394433878;AML_001_03
0.933364165249422;-2.34933290157862;AML_002_01
5.0798634504587;4.65230659951632;AML_003_02
-2.43341236309452;-3.42077820642046;AML_004_01
-1.56423864597819;-1.90589353550751;AML_006_02
-2.30227568260816;1.86935414675829;AML_007_01
-2.33781279156471;1.82585703958486;AML_007_02
-2.71505390198938;-6.49126360941585;AML_012_01
-1.12182782723087;-7.07715995597124;AML_013_01
4.17450145802472;-3.17999696404022;AML_014_01
2.89847829070609;-6.29747394683749;AML_015_01
7.42550183163869;-1.28692053589392;AML_015_02
-3.04812480994163;-0.592988497401515;AML_015_03
1.29757980876804;-6.12573725002246;AML_015_04
-5.88930116064688;-0.347054679016786;AML_018_01
2.68205631478399;-2.88902141746831;AML_020_01
-1.87460438693862;2.9696018760012;AML_022_01
-2.80168734092872;3.27472040856526;AML_023_01
-3.01492520612167;3.34196567605946;AML_023_03
-3.25320834044449;3.38882635876569;AML_023_04
2.99197444273117;-6.33300045526938;AML_024_01
5.46387286232033;1.32611907190743;AML_028_01
-2.69431927282746;8.4679378570752;AML_028_02
2.28780317884756;4.71138715753038;AML_028_03
5.66480998398481;1.20443633037169;AML_028_04
-1.52306618282969;-3.26511608423776;AML_032_01
5.74009815959153;-6.23520962564247;AML_035_02
5.73567121389728;-6.24081272412386;AML_035_04
-3.39242519039884;0.486951414266062;AML_036_01
0.287931802906032;2.46949169213822;AML_037_01
-5.08692957558593;-2.49217817477146;AML_040_01
0.00902524949594965;4.53351046625737;AML_041_01
-1.00858985530394;2.40329368889703;AML_042_01
-2.65874429351877;-7.05964360761649;AML_043_02
2.34023071411857;4.7108226745074;AML_045_01
1.23333614626057;-5.94001679928355;AML_046_01
-4.83560302514325;2.93237725375392;AML_047_01
0.647422176932814;-2.03735228634496;AML_048_01
-1.4974883669724;-4.97554743930711;AML_049_02
-1.12429234825263;-2.9611932307079;AML_051_01
7.01035174548506;-1.55701060110564;AML_053_01
-2.02246356256686;-5.583189459053;AML_054_01
-2.38848317476001;-4.34078552833249;AML_055_01
1.54768773603559;5.04746242674616;AML_056_01
1.43360855817582;5.79342330573484;AML_056_02
-0.974540958914349;0.752418095703536;AML_057_01
-2.50851387506818;-3.0641555002344;AML_058_01
-0.880877602605528;-3.33061608577661;AML_059_01
-0.329351292216765;-4.15023250485511;AML_060_01
-0.472765406881277;-3.70906157189996;AML_061_01
-3.98259092675722;0.151714248264265;AML_062_01
-3.99814388388819;1.45487574973023;AML_064_01
-0.987380498851652;-0.223848680509352;AML_065_01
-1.24602134187472;4.91633188419825;AML_067_01
-0.696082871797054;-4.71761039892873;AML_068_01
1.81528624493936;-3.12700249977439;AML_069_01
-2.24900587108665;-2.51652382808863;AML_072_01
3.7595025560627;4.22012505513616;AML_073_01
-0.518051156769563;2.16696616298225;AML_075_01
1.0273210819213;5.11346802310726;AML_076_01
-2.45360242778374;-5.19495066539247;AML_076_02
-0.67620649721665;-1.5633826935022;AML_077_01
-0.799679591492694;3.72682402213448;AML_078_02
3.82492783201701;-0.43642106457864;AML_120_01
3.83788105887694;-0.448522900448017;AML_120_03
1.4790864358996;-4.43389201918959;AML_129_02
1.47475112006854;-4.40236031753603;AML_129_03
-0.278893463429046;2.88998156845682;AML_132_01
1.74373947815316;3.6399399547703;AML_175_01
-0.782724499009329;-5.50812597654437;AML_179_01
-1.9576647929304;5.48382387002097;AML_183_01
-1.23230681591113;4.84358665043319;AML_183_02
-1.16639044480133;4.65704898918611;AML_183_03
2.5940065268159;1.87656755234566;AML_184_01
-4.2529796128406;-0.837283098351607;AML_184_02
-4.43683812266548;-4.52613696588129;AML_185_01
