Column_Label,Type
PAX7,Gene_Expr
MASP2,Gene_Expr
IYD,Gene_Expr
FAM76A,Gene_Expr
TRAF3IP3,Gene_Expr
POMT2,Gene_Expr
VTA1,Gene_Expr
MLXIPL,Gene_Expr
BAZ1B,Gene_Expr
RANBP9,Gene_Expr
ETV7,Gene_Expr
SPRTN,Gene_Expr
METTL13,Gene_Expr
DYRK4,Gene_Expr
ZNF207,Gene_Expr
UQCRC1,Gene_Expr
STARD3NL,Gene_Expr
CD9,Gene_Expr
NCAPD2,Gene_Expr
IFFO1,Gene_Expr
GIPR,Gene_Expr
PHF7,Gene_Expr
SEMA3G,Gene_Expr
NISCH,Gene_Expr
STAB1,Gene_Expr
FUZ,Gene_Expr
SLC6A13,Gene_Expr
IDS,Gene_Expr
PRSS3,Gene_Expr
ZNF200,Gene_Expr
CD4,Gene_Expr
LRRC23,Gene_Expr
BTK,Gene_Expr
HFE,Gene_Expr
SCMH1,Gene_Expr
FYN,Gene_Expr
HIVEP2,Gene_Expr
FMO1,Gene_Expr
ELOA,Gene_Expr
LYPLA2,Gene_Expr
CLCN6,Gene_Expr
MRC2,Gene_Expr
NME1-NME2,Gene_Expr
SLC6A7,Gene_Expr
TSPAN9,Gene_Expr
BTBD7,Gene_Expr
APBA3,Gene_Expr
MKS1,Gene_Expr
ABHD5,Gene_Expr
ANOS1,Gene_Expr
AKAP8L,Gene_Expr
MBTD1,Gene_Expr
UTP18,Gene_Expr
RNF216,Gene_Expr
TTC19,Gene_Expr
PTBP1,Gene_Expr
DPF1,Gene_Expr
SYT7,Gene_Expr
LARS2,Gene_Expr
PIK3C2A,Gene_Expr
PLAUR,Gene_Expr
ANLN,Gene_Expr
WIZ,Gene_Expr
RABGAP1,Gene_Expr
DCN,Gene_Expr
QPCTL,Gene_Expr
PPP5C,Gene_Expr
CEP68,Gene_Expr
MAP4K3,Gene_Expr
ZBTB32,Gene_Expr
TYROBP,Gene_Expr
LDAF1,Gene_Expr
GABRA3,Gene_Expr
BRCA1,Gene_Expr
ERCC1,Gene_Expr
CD22,Gene_Expr
SEMA3B,Gene_Expr
MBTPS2,Gene_Expr
PRICKLE3,Gene_Expr
LTF,Gene_Expr
EXTL3,Gene_Expr
NR1H4,Gene_Expr
ELOVL5,Gene_Expr
ALOX5,Gene_Expr
KDM5D,Gene_Expr
CALCOCO1,Gene_Expr
UBR7,Gene_Expr
MAP4K5,Gene_Expr
EHD3,Gene_Expr
PSMC4,Gene_Expr
MAN2B2,Gene_Expr
SLC7A14,Gene_Expr
CLDN11,Gene_Expr
SLC25A39,Gene_Expr
MVP,Gene_Expr
NUB1,Gene_Expr
PGM3,Gene_Expr
RWDD2A,Gene_Expr
CLK1,Gene_Expr
POLR3B,Gene_Expr
ANGEL1,Gene_Expr
RNF14,Gene_Expr
DNASE1L1,Gene_Expr
DDX11,Gene_Expr
HEBP1,Gene_Expr
GPRC5A,Gene_Expr
MAMLD1,Gene_Expr
CD6,Gene_Expr
TACC3,Gene_Expr
UFL1,Gene_Expr
POLA2,Gene_Expr
ZC3H3,Gene_Expr
CAPN1,Gene_Expr
ACP3,Gene_Expr
MDH1,Gene_Expr
SLC30A9,Gene_Expr
MTMR11,Gene_Expr
COX15,Gene_Expr
CCDC88C,Gene_Expr
YAF2,Gene_Expr
ZMYND11,Gene_Expr
WAS,Gene_Expr
DPEP1,Gene_Expr
BID,Gene_Expr
MATR3,Gene_Expr
NPC1L1,Gene_Expr
XYLT2,Gene_Expr
RGPD5,Gene_Expr
STMN4,Gene_Expr
NUDCD3,Gene_Expr
ISL1,Gene_Expr
CHDH,Gene_Expr
IL20RA,Gene_Expr
CLCA1,Gene_Expr
CLCA4,Gene_Expr
GLT8D1,Gene_Expr
ATP2C1,Gene_Expr
IGF1,Gene_Expr
SLC38A5,Gene_Expr
RALBP1,Gene_Expr
RUFY3,Gene_Expr
CNTN1,Gene_Expr
SLC11A1,Gene_Expr
WWTR1,Gene_Expr
AGPS,Gene_Expr
STEEP1,Gene_Expr
ATP1A2,Gene_Expr
TTC27,Gene_Expr
ZNF582,Gene_Expr
VSIG2,Gene_Expr
PHLDB1,Gene_Expr
MARCO,Gene_Expr
CYP24A1,Gene_Expr
PRDM11,Gene_Expr
SYT13,Gene_Expr
SNAI2,Gene_Expr
CD74,Gene_Expr
HGF,Gene_Expr
ZRANB1,Gene_Expr
NCDN,Gene_Expr
