Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,23.358,33.562,0.708,0.842,0.835
Part_2,5409,23.368,33.799,0.705,0.839,0.836
Part_3,5409,23.249,33.338,0.715,0.845,0.841
Part_4,5409,23.253,33.659,0.706,0.840,0.839
Part_5,5409,23.426,33.745,0.709,0.842,0.838
Mean,5408,23.331,33.621,0.709,0.842,0.838
Std,,0.077,0.182,0.004,0.002,0.002
