Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,49.397,66.212,0.050,0.225,0.277
Part_2,6326,42.921,54.662,0.140,0.375,0.369
Part_3,6322,50.023,66.306,0.058,0.242,0.295
Part_4,6322,44.214,60.674,0.040,0.199,0.272
Part_5,6306,45.434,62.945,0.072,0.268,0.337
Mean,6319,46.398,62.160,0.072,0.262,0.310
Std,,3.159,4.813,0.040,0.068,0.042
