Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,31.800,43.017,0.490,0.700,0.685
Part_2,5621,32.671,44.303,0.481,0.693,0.683
Part_3,5615,32.162,42.621,0.496,0.704,0.684
Part_4,5567,33.218,45.175,0.462,0.680,0.670
Part_5,5616,32.886,44.432,0.496,0.704,0.694
Mean,5596,32.547,43.910,0.485,0.696,0.683
Std,,0.567,1.059,0.014,0.010,0.009
