Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,32.541,43.829,0.470,0.686,0.669
Part_2,5621,33.466,45.098,0.461,0.679,0.667
Part_3,5615,32.969,43.374,0.477,0.691,0.667
Part_4,5567,34.047,46.142,0.438,0.662,0.649
Part_5,5616,33.245,44.822,0.483,0.695,0.684
Mean,5596,33.254,44.653,0.466,0.683,0.667
Std,,0.562,1.091,0.018,0.013,0.012
