Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,51.164,67.439,0.036,0.190,0.180
Part_2,6326,45.093,56.652,0.088,0.297,0.269
Part_3,6322,52.316,67.906,0.017,0.128,0.145
Part_4,6322,47.650,63.747,0.000,-0.018,0.029
Part_5,6306,47.469,63.775,0.047,0.217,0.235
Mean,6319,48.738,63.904,0.038,0.163,0.172
Std,,2.948,4.504,0.033,0.118,0.093
