Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,23.669,33.810,0.704,0.839,0.834
Part_2,5409,23.575,33.829,0.704,0.839,0.837
Part_3,5409,23.603,33.774,0.706,0.840,0.838
Part_4,5409,23.612,33.995,0.700,0.836,0.836
Part_5,5409,23.814,34.142,0.702,0.838,0.835
Mean,5408,23.655,33.910,0.703,0.838,0.836
Std,,0.095,0.155,0.002,0.002,0.002
