Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,6320,51.296,67.282,0.043,0.208,0.228
Part_2,6326,45.373,57.713,0.091,0.302,0.299
Part_3,6322,52.065,67.559,0.061,0.247,0.275
Part_4,6322,45.658,60.880,0.031,0.175,0.206
Part_5,6306,47.605,64.062,0.073,0.270,0.314
Mean,6319,48.399,63.499,0.060,0.240,0.264
Std,,3.128,4.226,0.024,0.050,0.046
