Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,32.415,43.502,0.488,0.698,0.688
Part_2,5621,33.903,45.682,0.456,0.675,0.671
Part_3,5615,33.816,45.625,0.450,0.671,0.659
Part_4,5567,32.679,43.120,0.486,0.697,0.678
Part_5,5616,33.722,45.528,0.461,0.679,0.666
Mean,5596,33.307,44.691,0.468,0.684,0.672
Std,,0.703,1.269,0.018,0.013,0.011
