Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,22.838,32.809,0.723,0.851,0.847
Part_2,5409,22.718,32.876,0.723,0.850,0.849
Part_3,5409,22.681,32.803,0.725,0.852,0.850
Part_4,5409,22.820,33.114,0.718,0.848,0.847
Part_5,5409,22.777,32.818,0.727,0.853,0.850
Mean,5408,22.767,32.884,0.723,0.851,0.849
Std,,0.067,0.132,0.003,0.002,0.002
